epoch,auc_4,loss,val_auc_4,val_loss
0,0.6085317134857178,0.2156822830438614,0.6229835748672485,0.21293219923973083
1,0.6545332074165344,0.20373950898647308,0.6477950215339661,0.2155415117740631
2,0.6754921078681946,0.20082715153694153,0.6919028162956238,0.1996181607246399
3,0.6860926151275635,0.19898663461208344,0.6911538243293762,0.1983945220708847
4,0.6958711743354797,0.19744709134101868,0.7043280005455017,0.19728106260299683
5,0.7018166780471802,0.19653378427028656,0.6767675876617432,0.20878492295742035
6,0.7090831995010376,0.19525164365768433,0.6916528940200806,0.20311996340751648
7,0.7165301442146301,0.1943119615316391,0.6855429410934448,0.20486173033714294
8,0.7301408052444458,0.19160489737987518,0.7277103662490845,0.19358094036579132
9,0.7387827038764954,0.18999776244163513,0.7213159203529358,0.19568219780921936
10,0.7444150447845459,0.1886325180530548,0.7230590581893921,0.19358833134174347
11,0.752736508846283,0.18710896372795105,0.720115602016449,0.19407589733600616
12,0.7660126090049744,0.18379570543766022,0.7249491810798645,0.19504517316818237
13,0.7752145528793335,0.1815975308418274,0.7198783755302429,0.1966736763715744
14,0.7829791903495789,0.17937874794006348,0.7169144749641418,0.19936320185661316
15,0.794661819934845,0.1763993203639984,0.7095513939857483,0.21440280973911285
16,0.8013210892677307,0.17395737767219543,0.7065359354019165,0.21706604957580566
17,0.807855486869812,0.1717967838048935,0.704128623008728,0.22814549505710602
18,0.8132972717285156,0.16925016045570374,0.7037919163703918,0.23381581902503967
19,0.820266842842102,0.16723230481147766,0.7000353336334229,0.24972499907016754
20,0.825128972530365,0.16530410945415497,0.6972284913063049,0.2644137144088745
21,0.8283049464225769,0.16373582184314728,0.6972007155418396,0.2812145948410034
22,0.8304575681686401,0.16229842603206635,0.6953274011611938,0.29781579971313477
23,0.8356193900108337,0.1608584225177765,0.6936600804328918,0.3153581917285919
24,0.8372206091880798,0.16013768315315247,0.6948486566543579,0.3070007264614105
25,0.8401655554771423,0.1591615229845047,0.6936696171760559,0.32716870307922363
26,0.8412048816680908,0.15810641646385193,0.6924942135810852,0.3413586914539337
27,0.8422670960426331,0.1580866575241089,0.694232165813446,0.32194066047668457
28,0.8420125246047974,0.1575319468975067,0.6931043863296509,0.32924792170524597
