epoch,auc,loss,val_auc,val_loss
0,0.5420175194740295,0.28754544258117676,0.5717422366142273,0.32489702105522156
1,0.605376124382019,0.2770512104034424,0.6386099457740784,0.276521772146225
2,0.6131771802902222,0.2759924829006195,0.6273102164268494,0.2756328582763672
3,0.6314642429351807,0.27329227328300476,0.6478412747383118,0.2735944390296936
4,0.6545675992965698,0.269616037607193,0.6717466711997986,0.26882290840148926
5,0.6675224304199219,0.26723867654800415,0.6766891479492188,0.2670648694038391
6,0.6711629033088684,0.266634464263916,0.6792346835136414,0.26678481698036194
7,0.6816578507423401,0.2644158601760864,0.6826298236846924,0.2655203938484192
8,0.6928313374519348,0.262758731842041,0.6901101469993591,0.2638147473335266
9,0.6959097385406494,0.2611563801765442,0.6949513554573059,0.2637392282485962
10,0.7028521299362183,0.2597750425338745,0.7035078406333923,0.2611926198005676
11,0.7103624939918518,0.257961243391037,0.7012860178947449,0.26167017221450806
12,0.7200750708580017,0.25606438517570496,0.7016996145248413,0.260733962059021
13,0.7258382439613342,0.2546083927154541,0.7018805146217346,0.26077979803085327
14,0.7294933795928955,0.253391295671463,0.7085343599319458,0.26024526357650757
15,0.7372570037841797,0.25155186653137207,0.7085326910018921,0.26012328267097473
16,0.7396752834320068,0.2503887712955475,0.7089623808860779,0.2597278356552124
17,0.7472025752067566,0.24844349920749664,0.7108525633811951,0.26092538237571716
18,0.7558621764183044,0.2463381141424179,0.7017368078231812,0.2639448940753937
19,0.7571062445640564,0.24491965770721436,0.7031338214874268,0.2632359266281128
20,0.7781617045402527,0.23760859668254852,0.7102888226509094,0.2639823257923126
21,0.788629412651062,0.23363003134727478,0.7105251550674438,0.266597181558609
22,0.7971668243408203,0.22977808117866516,0.7040056586265564,0.26930031180381775
23,0.8108223080635071,0.22397886216640472,0.7038242220878601,0.2747842073440552
24,0.8192029595375061,0.2200687676668167,0.6995075941085815,0.27689704298973083
25,0.8248443603515625,0.2171887755393982,0.6962948441505432,0.2814421057701111
26,0.8326367735862732,0.21301189064979553,0.6960529088973999,0.28481873869895935
27,0.8369890451431274,0.21050560474395752,0.6934092044830322,0.2883816361427307
28,0.841910183429718,0.20799574255943298,0.6917429566383362,0.2937409579753876
29,0.8446260094642639,0.2059585005044937,0.6925961375236511,0.29395273327827454
30,0.8487762212753296,0.20440877974033356,0.6907908916473389,0.29625752568244934
31,0.8502922058105469,0.2031051367521286,0.6900452971458435,0.29862621426582336
32,0.8516235947608948,0.20213086903095245,0.690967321395874,0.29720014333724976
33,0.8535314798355103,0.20124083757400513,0.6898947954177856,0.29751139879226685
34,0.8542414307594299,0.20017600059509277,0.6889455914497375,0.29923513531684875
35,0.8544038534164429,0.20009775459766388,0.6919520497322083,0.2964862883090973
36,0.8548235297203064,0.19940675795078278,0.689791738986969,0.2971201539039612
