,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
0,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.1805347, shape=(), dtype=float32)","tf.Tensor(0.07667896, shape=(), dtype=float32)","tf.Tensor(0.29960188, shape=(), dtype=float32)","tf.Tensor(0.089135066, shape=(), dtype=float32)","tf.Tensor(0.03900306, shape=(), dtype=float32)","tf.Tensor(0.04251233, shape=(), dtype=float32)","tf.Tensor(0.028052587, shape=(), dtype=float32)","tf.Tensor(0.2095892, shape=(), dtype=float32)","tf.Tensor(0.02588256, shape=(), dtype=float32)","tf.Tensor(0.05743492, shape=(), dtype=float32)","tf.Tensor(0.048474826, shape=(), dtype=float32)","tf.Tensor(0.108397655, shape=(), dtype=float32)","tf.Tensor(0.096838534, shape=(), dtype=float32)","tf.Tensor(0.004094348, shape=(), dtype=float32)"
1,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.18069598, shape=(), dtype=float32)","tf.Tensor(0.08096089, shape=(), dtype=float32)","tf.Tensor(0.29960188, shape=(), dtype=float32)","tf.Tensor(0.09235016, shape=(), dtype=float32)","tf.Tensor(0.068477556, shape=(), dtype=float32)","tf.Tensor(0.04870466, shape=(), dtype=float32)","tf.Tensor(0.034740906, shape=(), dtype=float32)","tf.Tensor(0.21660262, shape=(), dtype=float32)","tf.Tensor(0.0277214, shape=(), dtype=float32)","tf.Tensor(0.059549548, shape=(), dtype=float32)","tf.Tensor(0.056671225, shape=(), dtype=float32)","tf.Tensor(0.108397655, shape=(), dtype=float32)","tf.Tensor(0.09693726, shape=(), dtype=float32)","tf.Tensor(0.011782032, shape=(), dtype=float32)"
2,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.1832206, shape=(), dtype=float32)","tf.Tensor(0.09130949, shape=(), dtype=float32)","tf.Tensor(0.29961327, shape=(), dtype=float32)","tf.Tensor(0.10173798, shape=(), dtype=float32)","tf.Tensor(0.08297124, shape=(), dtype=float32)","tf.Tensor(0.06040036, shape=(), dtype=float32)","tf.Tensor(0.042028017, shape=(), dtype=float32)","tf.Tensor(0.23270777, shape=(), dtype=float32)","tf.Tensor(0.03440743, shape=(), dtype=float32)","tf.Tensor(0.06713302, shape=(), dtype=float32)","tf.Tensor(0.066142134, shape=(), dtype=float32)","tf.Tensor(0.108397655, shape=(), dtype=float32)","tf.Tensor(0.09803414, shape=(), dtype=float32)","tf.Tensor(0.016172506, shape=(), dtype=float32)"
3,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.18853612, shape=(), dtype=float32)","tf.Tensor(0.10283263, shape=(), dtype=float32)","tf.Tensor(0.29961693, shape=(), dtype=float32)","tf.Tensor(0.11555128, shape=(), dtype=float32)","tf.Tensor(0.09373494, shape=(), dtype=float32)","tf.Tensor(0.07064916, shape=(), dtype=float32)","tf.Tensor(0.048407324, shape=(), dtype=float32)","tf.Tensor(0.24962595, shape=(), dtype=float32)","tf.Tensor(0.042412724, shape=(), dtype=float32)","tf.Tensor(0.07838792, shape=(), dtype=float32)","tf.Tensor(0.0760069, shape=(), dtype=float32)","tf.Tensor(0.10827461, shape=(), dtype=float32)","tf.Tensor(0.10119208, shape=(), dtype=float32)","tf.Tensor(0.025, shape=(), dtype=float32)"
4,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.19525206, shape=(), dtype=float32)","tf.Tensor(0.113697335, shape=(), dtype=float32)","tf.Tensor(0.2996812, shape=(), dtype=float32)","tf.Tensor(0.1302885, shape=(), dtype=float32)","tf.Tensor(0.10259179, shape=(), dtype=float32)","tf.Tensor(0.077361174, shape=(), dtype=float32)","tf.Tensor(0.053688683, shape=(), dtype=float32)","tf.Tensor(0.26570174, shape=(), dtype=float32)","tf.Tensor(0.049105164, shape=(), dtype=float32)","tf.Tensor(0.0911032, shape=(), dtype=float32)","tf.Tensor(0.087414935, shape=(), dtype=float32)","tf.Tensor(0.10851334, shape=(), dtype=float32)","tf.Tensor(0.10583226, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
5,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.20243368, shape=(), dtype=float32)","tf.Tensor(0.12293682, shape=(), dtype=float32)","tf.Tensor(0.30007222, shape=(), dtype=float32)","tf.Tensor(0.14376782, shape=(), dtype=float32)","tf.Tensor(0.10861479, shape=(), dtype=float32)","tf.Tensor(0.08547767, shape=(), dtype=float32)","tf.Tensor(0.058105752, shape=(), dtype=float32)","tf.Tensor(0.2786222, shape=(), dtype=float32)","tf.Tensor(0.052411363, shape=(), dtype=float32)","tf.Tensor(0.10075681, shape=(), dtype=float32)","tf.Tensor(0.09849013, shape=(), dtype=float32)","tf.Tensor(0.10937231, shape=(), dtype=float32)","tf.Tensor(0.113073096, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
6,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.20960015, shape=(), dtype=float32)","tf.Tensor(0.13018169, shape=(), dtype=float32)","tf.Tensor(0.30068946, shape=(), dtype=float32)","tf.Tensor(0.15857919, shape=(), dtype=float32)","tf.Tensor(0.11599412, shape=(), dtype=float32)","tf.Tensor(0.093704775, shape=(), dtype=float32)","tf.Tensor(0.06675336, shape=(), dtype=float32)","tf.Tensor(0.29010355, shape=(), dtype=float32)","tf.Tensor(0.050758075, shape=(), dtype=float32)","tf.Tensor(0.110372156, shape=(), dtype=float32)","tf.Tensor(0.10677848, shape=(), dtype=float32)","tf.Tensor(0.111224085, shape=(), dtype=float32)","tf.Tensor(0.11932052, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
7,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.21651809, shape=(), dtype=float32)","tf.Tensor(0.13534118, shape=(), dtype=float32)","tf.Tensor(0.3012117, shape=(), dtype=float32)","tf.Tensor(0.17179003, shape=(), dtype=float32)","tf.Tensor(0.121480435, shape=(), dtype=float32)","tf.Tensor(0.0991342, shape=(), dtype=float32)","tf.Tensor(0.06723716, shape=(), dtype=float32)","tf.Tensor(0.29948843, shape=(), dtype=float32)","tf.Tensor(0.05914787, shape=(), dtype=float32)","tf.Tensor(0.120290354, shape=(), dtype=float32)","tf.Tensor(0.115093715, shape=(), dtype=float32)","tf.Tensor(0.113193676, shape=(), dtype=float32)","tf.Tensor(0.12560579, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
8,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.22283046, shape=(), dtype=float32)","tf.Tensor(0.14042087, shape=(), dtype=float32)","tf.Tensor(0.30230415, shape=(), dtype=float32)","tf.Tensor(0.18250188, shape=(), dtype=float32)","tf.Tensor(0.1272235, shape=(), dtype=float32)","tf.Tensor(0.10488246, shape=(), dtype=float32)","tf.Tensor(0.06239168, shape=(), dtype=float32)","tf.Tensor(0.30984142, shape=(), dtype=float32)","tf.Tensor(0.055469953, shape=(), dtype=float32)","tf.Tensor(0.12961076, shape=(), dtype=float32)","tf.Tensor(0.11965812, shape=(), dtype=float32)","tf.Tensor(0.115280464, shape=(), dtype=float32)","tf.Tensor(0.13347538, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
9,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.22908232, shape=(), dtype=float32)","tf.Tensor(0.14279705, shape=(), dtype=float32)","tf.Tensor(0.30335778, shape=(), dtype=float32)","tf.Tensor(0.18923418, shape=(), dtype=float32)","tf.Tensor(0.13430962, shape=(), dtype=float32)","tf.Tensor(0.11367127, shape=(), dtype=float32)","tf.Tensor(0.057007127, shape=(), dtype=float32)","tf.Tensor(0.31794402, shape=(), dtype=float32)","tf.Tensor(0.05627198, shape=(), dtype=float32)","tf.Tensor(0.13864654, shape=(), dtype=float32)","tf.Tensor(0.13180777, shape=(), dtype=float32)","tf.Tensor(0.1173289, shape=(), dtype=float32)","tf.Tensor(0.14237827, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
