,No Finding
103,"tf.Tensor(0.70717156, shape=(), dtype=float32)"
104,"tf.Tensor(0.7062365, shape=(), dtype=float32)"
105,"tf.Tensor(0.7051211, shape=(), dtype=float32)"
106,"tf.Tensor(0.70358974, shape=(), dtype=float32)"
107,"tf.Tensor(0.70138353, shape=(), dtype=float32)"
108,"tf.Tensor(0.7002806, shape=(), dtype=float32)"
109,"tf.Tensor(0.6986729, shape=(), dtype=float32)"
110,"tf.Tensor(0.6960276, shape=(), dtype=float32)"
111,"tf.Tensor(0.6932281, shape=(), dtype=float32)"
112,"tf.Tensor(0.690986, shape=(), dtype=float32)"
113,"tf.Tensor(0.6886, shape=(), dtype=float32)"
114,"tf.Tensor(0.68620217, shape=(), dtype=float32)"
115,"tf.Tensor(0.6836438, shape=(), dtype=float32)"
116,"tf.Tensor(0.6812062, shape=(), dtype=float32)"
117,"tf.Tensor(0.6788081, shape=(), dtype=float32)"
118,"tf.Tensor(0.6759976, shape=(), dtype=float32)"
119,"tf.Tensor(0.6728597, shape=(), dtype=float32)"
120,"tf.Tensor(0.66965634, shape=(), dtype=float32)"
121,"tf.Tensor(0.6669426, shape=(), dtype=float32)"
122,"tf.Tensor(0.66398484, shape=(), dtype=float32)"
123,"tf.Tensor(0.66146266, shape=(), dtype=float32)"
124,"tf.Tensor(0.6581876, shape=(), dtype=float32)"
125,"tf.Tensor(0.6558286, shape=(), dtype=float32)"
126,"tf.Tensor(0.65242666, shape=(), dtype=float32)"
127,"tf.Tensor(0.64896756, shape=(), dtype=float32)"
128,"tf.Tensor(0.64472234, shape=(), dtype=float32)"
129,"tf.Tensor(0.63993436, shape=(), dtype=float32)"
130,"tf.Tensor(0.63653594, shape=(), dtype=float32)"
131,"tf.Tensor(0.63266003, shape=(), dtype=float32)"
132,"tf.Tensor(0.6270669, shape=(), dtype=float32)"
133,"tf.Tensor(0.62299466, shape=(), dtype=float32)"
134,"tf.Tensor(0.6178732, shape=(), dtype=float32)"
135,"tf.Tensor(0.6125818, shape=(), dtype=float32)"
136,"tf.Tensor(0.6058976, shape=(), dtype=float32)"
137,"tf.Tensor(0.60007167, shape=(), dtype=float32)"
138,"tf.Tensor(0.59440774, shape=(), dtype=float32)"
139,"tf.Tensor(0.5888346, shape=(), dtype=float32)"
140,"tf.Tensor(0.58258635, shape=(), dtype=float32)"
141,"tf.Tensor(0.57612777, shape=(), dtype=float32)"
142,"tf.Tensor(0.56952226, shape=(), dtype=float32)"
143,"tf.Tensor(0.5631831, shape=(), dtype=float32)"
144,"tf.Tensor(0.5571049, shape=(), dtype=float32)"
145,"tf.Tensor(0.5485144, shape=(), dtype=float32)"
146,"tf.Tensor(0.5405735, shape=(), dtype=float32)"
147,"tf.Tensor(0.53345996, shape=(), dtype=float32)"
148,"tf.Tensor(0.52362406, shape=(), dtype=float32)"
149,"tf.Tensor(0.5163972, shape=(), dtype=float32)"
150,"tf.Tensor(0.5063815, shape=(), dtype=float32)"
151,"tf.Tensor(0.49741596, shape=(), dtype=float32)"
152,"tf.Tensor(0.48850575, shape=(), dtype=float32)"
153,"tf.Tensor(0.47717965, shape=(), dtype=float32)"
154,"tf.Tensor(0.46726173, shape=(), dtype=float32)"
155,"tf.Tensor(0.4577861, shape=(), dtype=float32)"
156,"tf.Tensor(0.44800195, shape=(), dtype=float32)"
157,"tf.Tensor(0.43599087, shape=(), dtype=float32)"
158,"tf.Tensor(0.4233604, shape=(), dtype=float32)"
159,"tf.Tensor(0.41030172, shape=(), dtype=float32)"
160,"tf.Tensor(0.39920923, shape=(), dtype=float32)"
161,"tf.Tensor(0.3892747, shape=(), dtype=float32)"
162,"tf.Tensor(0.37512198, shape=(), dtype=float32)"
163,"tf.Tensor(0.3615663, shape=(), dtype=float32)"
164,"tf.Tensor(0.3482018, shape=(), dtype=float32)"
165,"tf.Tensor(0.33564085, shape=(), dtype=float32)"
166,"tf.Tensor(0.3218313, shape=(), dtype=float32)"
167,"tf.Tensor(0.30980122, shape=(), dtype=float32)"
168,"tf.Tensor(0.29544982, shape=(), dtype=float32)"
169,"tf.Tensor(0.27864602, shape=(), dtype=float32)"
170,"tf.Tensor(0.2638515, shape=(), dtype=float32)"
171,"tf.Tensor(0.24905175, shape=(), dtype=float32)"
172,"tf.Tensor(0.23578703, shape=(), dtype=float32)"
173,"tf.Tensor(0.21853288, shape=(), dtype=float32)"
174,"tf.Tensor(0.20571513, shape=(), dtype=float32)"
175,"tf.Tensor(0.18627597, shape=(), dtype=float32)"
176,"tf.Tensor(0.1701806, shape=(), dtype=float32)"
177,"tf.Tensor(0.15731707, shape=(), dtype=float32)"
178,"tf.Tensor(0.1437798, shape=(), dtype=float32)"
179,"tf.Tensor(0.12769924, shape=(), dtype=float32)"
180,"tf.Tensor(0.11495693, shape=(), dtype=float32)"
181,"tf.Tensor(0.09915395, shape=(), dtype=float32)"
182,"tf.Tensor(0.08633323, shape=(), dtype=float32)"
183,"tf.Tensor(0.07489976, shape=(), dtype=float32)"
184,"tf.Tensor(0.06486487, shape=(), dtype=float32)"
185,"tf.Tensor(0.055028003, shape=(), dtype=float32)"
186,"tf.Tensor(0.04712981, shape=(), dtype=float32)"
187,"tf.Tensor(0.038669508, shape=(), dtype=float32)"
188,"tf.Tensor(0.03271681, shape=(), dtype=float32)"
189,"tf.Tensor(0.02509286, shape=(), dtype=float32)"
190,"tf.Tensor(0.019042889, shape=(), dtype=float32)"
191,"tf.Tensor(0.015596483, shape=(), dtype=float32)"
192,"tf.Tensor(0.012137335, shape=(), dtype=float32)"
193,"tf.Tensor(0.008663057, shape=(), dtype=float32)"
194,"tf.Tensor(0.0071702516, shape=(), dtype=float32)"
195,"tf.Tensor(0.006008011, shape=(), dtype=float32)"
196,"tf.Tensor(0.0038432619, shape=(), dtype=float32)"
197,"tf.Tensor(0.0021740948, shape=(), dtype=float32)"
198,"tf.Tensor(0.0005021761, shape=(), dtype=float32)"
199,"tf.Tensor(0.0, shape=(), dtype=float32)"
