epoch,auc,loss,val_auc,val_loss
0,0.6337648034095764,0.20925776660442352,0.6588685512542725,0.2116253674030304
1,0.685660719871521,0.20027200877666473,0.6899175047874451,0.20321090519428253
2,0.71404629945755,0.19576632976531982,0.6850044131278992,0.20516639947891235
3,0.730116069316864,0.19270436465740204,0.7369164228439331,0.19075186550617218
4,0.7448166012763977,0.19033710658550262,0.7420552968978882,0.1919463574886322
5,0.7540251612663269,0.188338503241539,0.741682231426239,0.18962517380714417
6,0.7632557153701782,0.18653222918510437,0.7330454587936401,0.19652007520198822
7,0.7709309458732605,0.1846962422132492,0.7365350723266602,0.1991061121225357
8,0.7763932347297668,0.18291735649108887,0.733732283115387,0.19796477258205414
9,0.7959031462669373,0.17808686196804047,0.7304229140281677,0.1980583667755127
10,0.8085033893585205,0.17469806969165802,0.745208203792572,0.1929265558719635
11,0.8203569650650024,0.1714223325252533,0.7443246245384216,0.19767196476459503
12,0.833608090877533,0.16657190024852753,0.7389436364173889,0.20179718732833862
13,0.8452705144882202,0.16236934065818787,0.73307204246521,0.20498324930667877
14,0.8547160625457764,0.15803733468055725,0.728872537612915,0.2124147117137909
15,0.8636438846588135,0.15367437899112701,0.7228979468345642,0.22179581224918365
16,0.8731381297111511,0.14934952557086945,0.7173934578895569,0.23305974900722504
17,0.8803988695144653,0.14532744884490967,0.7106994390487671,0.24348236620426178
18,0.8812857270240784,0.14457009732723236,0.713838517665863,0.24063321948051453
19,0.8871248960494995,0.1413036435842514,0.7095881104469299,0.25003841519355774
20,0.8938655257225037,0.1376897096633911,0.7026407718658447,0.2640479803085327
21,0.8913615942001343,0.13856428861618042,0.7053552269935608,0.25852978229522705
22,0.8965016603469849,0.13618254661560059,0.7021113038063049,0.270247220993042
23,0.9009462594985962,0.13354353606700897,0.69964599609375,0.2820822298526764
24,0.8961774706840515,0.13592089712619781,0.7003002166748047,0.27283552289009094
25,0.8999024033546448,0.13384568691253662,0.6998607516288757,0.2784939110279083
