thresholds,TP,TN,FP,FN
-1e-07,"[12117.  2333.   928.  3994.  1078.   467.   499.   350.  2662.   277.
   674.   575.  1249.  1141.    52.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10307. 20091. 21496. 18430. 21346. 21957. 21925. 22074. 19762. 22147.
 21750. 21849. 21175. 21283. 22372.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[12117.  2332.   921.  3994.  1061.   452.   476.   340.  2644.   262.
   668.   550.  1249.  1138.    17.]","[0.0000e+00 2.6100e+02 1.8690e+03 0.0000e+00 2.2170e+03 9.8160e+03
 5.8940e+03 2.0570e+03 2.2940e+03 4.3490e+03 1.4890e+03 9.4080e+03
 1.0000e+01 7.6700e+02 1.9638e+04]","[10307. 19830. 19627. 18430. 19129. 12141. 16031. 20017. 17468. 17798.
 20261. 12441. 21165. 20516.  2734.]",[ 0.  1.  7.  0. 17. 15. 23. 10. 18. 15.  6. 25.  0.  3. 35.]
0.010050251256281407,"[12117.  2316.   893.  3994.  1033.   435.   439.   308.  2617.   233.
   627.   522.  1244.  1124.     0.]","[    0.  2056.  5187.     0.  5515. 12887.  9773.  7829.  5067.  9222.
  5340. 12267.   147.  2365. 22372.]","[10307. 18035. 16309. 18430. 15831.  9070. 12152. 14245. 14695. 12925.
 16410.  9582. 21028. 18918.     0.]",[ 0. 17. 35.  0. 45. 32. 60. 42. 45. 44. 47. 53.  5. 17. 52.]
0.01507537688442211,"[12117.  2283.   871.  3994.   995.   414.   409.   241.  2578.   204.
   569.   494.  1238.  1099.     0.]","[    0.  3712.  7729.     0.  8142. 14549. 12226. 12799.  6974. 12597.
  8859. 13906.   607.  4101. 22372.]","[10307. 16379. 13767. 18430. 13204.  7408.  9699.  9275. 12788.  9550.
 12891.  7943. 20568. 17182.     0.]","[  0.  50.  57.   0.  83.  53.  90. 109.  84.  73. 105.  81.  11.  42.
  52.]"
0.020100502512562814,"[12117.  2258.   851.  3994.   966.   402.   384.   174.  2541.   176.
   523.   472.  1218.  1067.     0.]","[    0.  4783.  9473.     0. 10211. 15673. 13935. 15880.  8286. 15107.
 11624. 15113.  1436.  5787. 22372.]","[10307. 15308. 12023. 18430. 11135.  6284.  7990.  6194. 11476.  7040.
 10126.  6736. 19739. 15496.     0.]","[  0.  75.  77.   0. 112.  65. 115. 176. 121. 101. 151. 103.  31.  74.
  52.]"
0.02512562814070352,"[12117.  2228.   842.  3994.   920.   389.   362.   134.  2512.   140.
   467.   443.  1189.  1031.     0.]","[0.0000e+00 5.5760e+03 1.0727e+04 4.0000e+00 1.1647e+04 1.6454e+04
 1.5150e+04 1.7741e+04 9.3000e+03 1.7060e+04 1.3610e+04 1.6227e+04
 2.5820e+03 7.3550e+03 2.2372e+04]","[10307. 14515. 10769. 18426.  9699.  5503.  6775.  4333. 10462.  5087.
  8140.  5622. 18593. 13928.     0.]","[  0. 105.  86.   0. 158.  78. 137. 216. 150. 137. 207. 132.  60. 110.
  52.]"
0.03015075376884422,"[12117.  2194.   817.  3992.   887.   372.   335.   104.  2493.   113.
   428.   409.  1157.  1002.     0.]","[0.0000e+00 6.2490e+03 1.1620e+04 1.5000e+01 1.2794e+04 1.7043e+04
 1.6105e+04 1.8928e+04 1.0101e+04 1.8419e+04 1.5007e+04 1.7051e+04
 3.9370e+03 8.7430e+03 2.2372e+04]","[10307. 13842.  9876. 18415.  8552.  4914.  5820.  3146.  9661.  3728.
  6743.  4798. 17238. 12540.     0.]","[  0. 139. 111.   2. 191.  95. 164. 246. 169. 164. 246. 166.  92. 139.
  52.]"
0.035175879396984924,"[12117.  2166.   783.  3992.   863.   354.   307.    79.  2465.    88.
   391.   389.  1122.   963.     0.]","[    0.  6919. 12355.    62. 13790. 17526. 16885. 19782. 10705. 19396.
 16044. 17726.  5336. 10022. 22372.]","[10307. 13172.  9141. 18368.  7556.  4431.  5040.  2292.  9057.  2751.
  5706.  4123. 15839. 11261.     0.]","[  0. 167. 145.   2. 215. 113. 192. 271. 197. 189. 283. 186. 127. 178.
  52.]"
0.04020100502512563,"[12117.  2125.   759.  3989.   845.   341.   289.    50.  2437.    71.
   363.   365.  1085.   930.     0.]","[    0.  7612. 12958.   126. 14511. 17941. 17448. 20575. 11232. 20195.
 16769. 18338.  6756. 11187. 22372.]","[10307. 12479.  8538. 18304.  6835.  4016.  4477.  1499.  8530.  1952.
  4981.  3511. 14419. 10096.     0.]","[  0. 208. 169.   5. 233. 126. 210. 300. 225. 206. 311. 210. 164. 211.
  52.]"
0.04522613065326633,"[12117.  2082.   738.  3984.   822.   328.   278.    24.  2418.    42.
   342.   352.  1043.   893.     0.]","[    0.  8374. 13579.   233. 15146. 18306. 17885. 21341. 11689. 20931.
 17394. 18827.  8019. 12120. 22372.]","[10307. 11717.  7917. 18197.  6200.  3651.  4040.   733.  8073.  1216.
  4356.  3022. 13156.  9163.     0.]","[  0. 251. 190.  10. 256. 139. 221. 326. 244. 235. 332. 223. 206. 248.
  52.]"
0.05025125628140704,"[1.2117e+04 2.0440e+03 7.1500e+02 3.9790e+03 7.9100e+02 3.2200e+02
 2.6000e+02 1.0000e+01 2.3950e+03 2.9000e+01 3.2100e+02 3.2900e+02
 1.0060e+03 8.5400e+02 0.0000e+00]","[    0.  9141. 14141.   394. 15671. 18604. 18256. 21771. 12102. 21449.
 17894. 19224.  9220. 12986. 22372.]","[10307. 10950.  7355. 18036.  5675.  3353.  3669.   303.  7660.   698.
  3856.  2625. 11955.  8297.     0.]","[  0. 289. 213.  15. 287. 145. 239. 340. 267. 248. 353. 246. 243. 287.
  52.]"
0.05527638190954774,"[1.2117e+04 1.9860e+03 6.9000e+02 3.9710e+03 7.6900e+02 3.0900e+02
 2.4500e+02 3.0000e+00 2.3520e+03 1.1000e+01 2.9000e+02 3.0600e+02
 9.5600e+02 8.2000e+02 0.0000e+00]","[    0.  9801. 14694.   632. 16106. 18873. 18611. 22019. 12443. 21869.
 18275. 19548. 10337. 13712. 22372.]","[10307. 10290.  6802. 17798.  5240.  3084.  3314.    55.  7319.   278.
  3475.  2301. 10838.  7571.     0.]","[  0. 347. 238.  23. 309. 158. 254. 347. 310. 266. 384. 269. 293. 321.
  52.]"
0.06030150753768844,"[1.2117e+04 1.9150e+03 6.6100e+02 3.9530e+03 7.4400e+02 2.9900e+02
 2.2900e+02 0.0000e+00 2.3270e+03 5.0000e+00 2.7300e+02 2.8700e+02
 9.1000e+02 7.8500e+02 0.0000e+00]","[    0. 10445. 15244.   918. 16443. 19119. 18962. 22074. 12778. 22032.
 18684. 19785. 11368. 14359. 22372.]","[10307.  9646.  6252. 17512.  4903.  2838.  2963.     0.  6984.   115.
  3066.  2064.  9807.  6924.     0.]","[  0. 418. 267.  41. 334. 168. 270. 350. 335. 272. 401. 288. 339. 356.
  52.]"
0.06532663316582915,"[12117.  1862.   627.  3935.   723.   286.   210.     0.  2292.     0.
   253.   275.   874.   760.     0.]","[    0. 11057. 15797.  1215. 16766. 19337. 19253. 22074. 13054. 22147.
 19005. 20027. 12270. 14909. 22372.]","[10307.  9034.  5699. 17215.  4580.  2620.  2672.     0.  6708.     0.
  2745.  1822.  8905.  6374.     0.]","[  0. 471. 301.  59. 355. 181. 289. 350. 370. 277. 421. 300. 375. 381.
  52.]"
0.07035175879396985,"[12117.  1804.   600.  3913.   693.   277.   195.     0.  2269.     0.
   236.   262.   830.   736.     0.]","[    0. 11616. 16298.  1600. 17043. 19523. 19516. 22074. 13304. 22147.
 19281. 20202. 13138. 15371. 22372.]","[10307.  8475.  5198. 16830.  4303.  2434.  2409.     0.  6458.     0.
  2469.  1647.  8037.  5912.     0.]","[  0. 529. 328.  81. 385. 190. 304. 350. 393. 277. 438. 313. 419. 405.
  52.]"
0.07537688442211055,"[12117.  1743.   564.  3886.   681.   266.   187.     0.  2246.     0.
   227.   252.   783.   713.     0.]","[    0. 12176. 16744.  2000. 17281. 19708. 19846. 22074. 13552. 22147.
 19511. 20363. 13842. 15785. 22372.]","[10307.  7915.  4752. 16430.  4065.  2249.  2079.     0.  6210.     0.
  2239.  1486.  7333.  5498.     0.]","[  0. 590. 364. 108. 397. 201. 312. 350. 416. 277. 447. 323. 466. 428.
  52.]"
0.08040201005025126,"[12117.  1677.   535.  3845.   666.   251.   176.     0.  2217.     0.
   218.   236.   750.   688.     0.]","[    0. 12701. 17166.  2448. 17522. 19874. 20110. 22074. 13806. 22147.
 19756. 20498. 14466. 16153. 22372.]","[10307.  7390.  4330. 15982.  3824.  2083.  1815.     0.  5956.     0.
  1994.  1351.  6709.  5130.     0.]","[  0. 656. 393. 149. 412. 216. 323. 350. 445. 277. 456. 339. 499. 453.
  52.]"
0.08542713567839195,"[12117.  1620.   513.  3801.   652.   237.   155.     0.  2186.     0.
   202.   228.   721.   657.     0.]","[    0. 13180. 17549.  2936. 17718. 20078. 20320. 22074. 14028. 22147.
 19980. 20616. 15076. 16489. 22372.]","[10307.  6911.  3947. 15494.  3628.  1879.  1605.     0.  5734.     0.
  1770.  1233.  6099.  4794.     0.]","[  0. 713. 415. 193. 426. 230. 344. 350. 476. 277. 472. 347. 528. 484.
  52.]"
