,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
16,"tf.Tensor(0.73342204, shape=(), dtype=float32)","tf.Tensor(0.24043474, shape=(), dtype=float32)","tf.Tensor(0.18454148, shape=(), dtype=float32)","tf.Tensor(0.30168527, shape=(), dtype=float32)","tf.Tensor(0.19925177, shape=(), dtype=float32)","tf.Tensor(0.17994195, shape=(), dtype=float32)","tf.Tensor(0.11574468, shape=(), dtype=float32)","tf.Tensor(0.05867347, shape=(), dtype=float32)","tf.Tensor(0.34819657, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15606362, shape=(), dtype=float32)","tf.Tensor(0.19417976, shape=(), dtype=float32)","tf.Tensor(0.115212455, shape=(), dtype=float32)","tf.Tensor(0.18138152, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.7333641, shape=(), dtype=float32)","tf.Tensor(0.24435727, shape=(), dtype=float32)","tf.Tensor(0.18779762, shape=(), dtype=float32)","tf.Tensor(0.30168527, shape=(), dtype=float32)","tf.Tensor(0.20129776, shape=(), dtype=float32)","tf.Tensor(0.18280298, shape=(), dtype=float32)","tf.Tensor(0.116600186, shape=(), dtype=float32)","tf.Tensor(0.05762712, shape=(), dtype=float32)","tf.Tensor(0.3547581, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1577802, shape=(), dtype=float32)","tf.Tensor(0.19935691, shape=(), dtype=float32)","tf.Tensor(0.11408274, shape=(), dtype=float32)","tf.Tensor(0.18586005, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.73404866, shape=(), dtype=float32)","tf.Tensor(0.24776486, shape=(), dtype=float32)","tf.Tensor(0.19185863, shape=(), dtype=float32)","tf.Tensor(0.30168527, shape=(), dtype=float32)","tf.Tensor(0.2041371, shape=(), dtype=float32)","tf.Tensor(0.18272308, shape=(), dtype=float32)","tf.Tensor(0.11768639, shape=(), dtype=float32)","tf.Tensor(0.02660754, shape=(), dtype=float32)","tf.Tensor(0.3629416, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16288783, shape=(), dtype=float32)","tf.Tensor(0.20188053, shape=(), dtype=float32)","tf.Tensor(0.1142132, shape=(), dtype=float32)","tf.Tensor(0.18828075, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.7331778, shape=(), dtype=float32)","tf.Tensor(0.25116894, shape=(), dtype=float32)","tf.Tensor(0.1928476, shape=(), dtype=float32)","tf.Tensor(0.30168527, shape=(), dtype=float32)","tf.Tensor(0.20700487, shape=(), dtype=float32)","tf.Tensor(0.18302584, shape=(), dtype=float32)","tf.Tensor(0.11948998, shape=(), dtype=float32)","tf.Tensor(0.016949153, shape=(), dtype=float32)","tf.Tensor(0.37105602, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16596161, shape=(), dtype=float32)","tf.Tensor(0.20642202, shape=(), dtype=float32)","tf.Tensor(0.114249036, shape=(), dtype=float32)","tf.Tensor(0.19233926, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
20,"tf.Tensor(0.73283964, shape=(), dtype=float32)","tf.Tensor(0.2558856, shape=(), dtype=float32)","tf.Tensor(0.19508748, shape=(), dtype=float32)","tf.Tensor(0.30171958, shape=(), dtype=float32)","tf.Tensor(0.21128608, shape=(), dtype=float32)","tf.Tensor(0.1870893, shape=(), dtype=float32)","tf.Tensor(0.12280702, shape=(), dtype=float32)","tf.Tensor(0.012307692, shape=(), dtype=float32)","tf.Tensor(0.3779932, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17116477, shape=(), dtype=float32)","tf.Tensor(0.21258907, shape=(), dtype=float32)","tf.Tensor(0.116173916, shape=(), dtype=float32)","tf.Tensor(0.19496673, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.73228115, shape=(), dtype=float32)","tf.Tensor(0.2597551, shape=(), dtype=float32)","tf.Tensor(0.19652306, shape=(), dtype=float32)","tf.Tensor(0.301731, shape=(), dtype=float32)","tf.Tensor(0.2156197, shape=(), dtype=float32)","tf.Tensor(0.19005257, shape=(), dtype=float32)","tf.Tensor(0.12739965, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.384923, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17306946, shape=(), dtype=float32)","tf.Tensor(0.21711132, shape=(), dtype=float32)","tf.Tensor(0.11809379, shape=(), dtype=float32)","tf.Tensor(0.19820368, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.73253536, shape=(), dtype=float32)","tf.Tensor(0.2641657, shape=(), dtype=float32)","tf.Tensor(0.19829337, shape=(), dtype=float32)","tf.Tensor(0.30175385, shape=(), dtype=float32)","tf.Tensor(0.22010246, shape=(), dtype=float32)","tf.Tensor(0.19439729, shape=(), dtype=float32)","tf.Tensor(0.12868892, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39194396, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17284991, shape=(), dtype=float32)","tf.Tensor(0.21879911, shape=(), dtype=float32)","tf.Tensor(0.118560486, shape=(), dtype=float32)","tf.Tensor(0.19977409, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.7296464, shape=(), dtype=float32)","tf.Tensor(0.26913282, shape=(), dtype=float32)","tf.Tensor(0.19751993, shape=(), dtype=float32)","tf.Tensor(0.3018682, shape=(), dtype=float32)","tf.Tensor(0.22124542, shape=(), dtype=float32)","tf.Tensor(0.19625334, shape=(), dtype=float32)","tf.Tensor(0.1308615, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39693692, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16849817, shape=(), dtype=float32)","tf.Tensor(0.22396344, shape=(), dtype=float32)","tf.Tensor(0.11648454, shape=(), dtype=float32)","tf.Tensor(0.20572785, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.72763634, shape=(), dtype=float32)","tf.Tensor(0.27255833, shape=(), dtype=float32)","tf.Tensor(0.20009597, shape=(), dtype=float32)","tf.Tensor(0.30188823, shape=(), dtype=float32)","tf.Tensor(0.22298326, shape=(), dtype=float32)","tf.Tensor(0.20075047, shape=(), dtype=float32)","tf.Tensor(0.12561576, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40430266, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16576222, shape=(), dtype=float32)","tf.Tensor(0.22699799, shape=(), dtype=float32)","tf.Tensor(0.11582319, shape=(), dtype=float32)","tf.Tensor(0.21037619, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.7248474, shape=(), dtype=float32)","tf.Tensor(0.2771144, shape=(), dtype=float32)","tf.Tensor(0.19654715, shape=(), dtype=float32)","tf.Tensor(0.30211732, shape=(), dtype=float32)","tf.Tensor(0.22765832, shape=(), dtype=float32)","tf.Tensor(0.20246914, shape=(), dtype=float32)","tf.Tensor(0.11297071, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.41068193, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16259299, shape=(), dtype=float32)","tf.Tensor(0.23225361, shape=(), dtype=float32)","tf.Tensor(0.11639762, shape=(), dtype=float32)","tf.Tensor(0.21250942, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
