thresholds,TP,TN,FP,FN
-1e-07,"[12040.  2326.   968.  3886.  1073.   448.   499.   343.  2741.   285.
   670.   592.  1284.  1139.    47.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10384. 20098. 21456. 18538. 21351. 21976. 21925. 22081. 19683. 22139.
 21754. 21832. 21140. 21285. 22377.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[12040.  2323.   951.  3886.  1057.   414.   471.   312.  2727.   261.
   654.   567.  1284.  1136.    28.]","[0.0000e+00 5.4100e+02 3.4030e+03 0.0000e+00 3.9950e+03 1.1884e+04
 6.8620e+03 5.3370e+03 2.3720e+03 6.2150e+03 2.3710e+03 7.3320e+03
 1.2000e+01 5.8300e+02 1.7501e+04]","[10384. 19557. 18053. 18538. 17356. 10092. 15063. 16744. 17311. 15924.
 19383. 14500. 21128. 20702.  4876.]",[ 0.  3. 17.  0. 16. 34. 28. 31. 14. 24. 16. 25.  0.  3. 19.]
0.010050251256281407,"[12040.  2312.   923.  3886.  1026.   391.   435.   270.  2715.   227.
   614.   533.  1283.  1118.    17.]","[0.0000e+00 1.5980e+03 6.5790e+03 3.0000e+00 7.3070e+03 1.4363e+04
 1.0766e+04 1.0194e+04 4.2950e+03 1.1311e+04 6.2480e+03 1.0815e+04
 1.5500e+02 2.0800e+03 2.0316e+04]","[10384. 18500. 14877. 18535. 14044.  7613. 11159. 11887. 15388. 10828.
 15506. 11017. 20985. 19205.  2061.]",[ 0. 14. 45.  0. 47. 57. 64. 73. 26. 58. 56. 59.  1. 21. 30.]
0.01507537688442211,"[1.204e+04 2.298e+03 9.040e+02 3.885e+03 9.840e+02 3.740e+02 3.870e+02
 2.390e+02 2.690e+03 1.870e+02 5.590e+02 4.860e+02 1.277e+03 1.083e+03
 8.000e+00]","[    0.  2627.  8479.    46.  9724. 15702. 13210. 13397.  5603. 14363.
  9402. 13170.   697.  3831. 21448.]","[10384. 17471. 12977. 18492. 11627.  6274.  8715.  8684. 14080.  7776.
 12352.  8662. 20443. 17454.   929.]","[  0.  28.  64.   1.  89.  74. 112. 104.  51.  98. 111. 106.   7.  56.
  39.]"
0.020100502512562814,"[1.204e+04 2.286e+03 8.750e+02 3.882e+03 9.400e+02 3.510e+02 3.560e+02
 2.070e+02 2.669e+03 1.470e+02 5.070e+02 4.450e+02 1.251e+03 1.032e+03
 6.000e+00]","[    0.  3492.  9824.   136. 11461. 16582. 14922. 15674.  6586. 16481.
 11727. 14804.  1564.  5501. 21951.]","[10384. 16606. 11632. 18402.  9890.  5394.  7003.  6407. 13097.  5658.
 10027.  7028. 19576. 15784.   426.]","[  0.  40.  93.   4. 133.  97. 143. 136.  72. 138. 163. 147.  33. 107.
  41.]"
0.02512562814070352,"[1.204e+04 2.268e+03 8.520e+02 3.878e+03 9.120e+02 3.340e+02 3.230e+02
 1.760e+02 2.646e+03 1.180e+02 4.570e+02 4.130e+02 1.213e+03 9.830e+02
 4.000e+00]","[    0.  4285. 10768.   302. 12836. 17292. 16120. 17318.  7357. 17941.
 13386. 16025.  2859.  7192. 22187.]","[10384. 15813. 10688. 18236.  8515.  4684.  5805.  4763. 12326.  4198.
  8368.  5807. 18281. 14093.   190.]","[  0.  58. 116.   8. 161. 114. 176. 167.  95. 167. 213. 179.  71. 156.
  43.]"
0.03015075376884422,"[1.204e+04 2.247e+03 8.350e+02 3.874e+03 8.820e+02 3.180e+02 2.940e+02
 1.280e+02 2.630e+03 9.100e+01 4.220e+02 3.900e+02 1.161e+03 9.420e+02
 2.000e+00]","[    0.  5031. 11520.   511. 13880. 17796. 17045. 18551.  8033. 19066.
 14626. 16965.  4356.  8674. 22293.]","[10384. 15067.  9936. 18027.  7471.  4180.  4880.  3530. 11650.  3073.
  7128.  4867. 16784. 12611.    84.]","[  0.  79. 133.  12. 191. 130. 205. 215. 111. 194. 248. 202. 123. 197.
  45.]"
0.035175879396984924,"[12040.  2217.   817.  3861.   843.   299.   264.    97.  2613.    71.
   391.   365.  1115.   906.     0.]","[    0.  5714. 12147.   748. 14711. 18205. 17747. 19480.  8618. 19901.
 15635. 17734.  5900. 10045. 22347.]","[10384. 14384.  9309. 17790.  6640.  3771.  4178.  2601. 11065.  2238.
  6119.  4098. 15240. 11240.    30.]","[  0. 109. 151.  25. 230. 149. 235. 246. 128. 214. 279. 227. 169. 233.
  47.]"
0.04020100502512563,"[12040.  2188.   792.  3840.   799.   285.   229.    83.  2592.    46.
   365.   337.  1052.   855.     0.]","[    0.  6345. 12712.  1077. 15329. 18529. 18272. 20166.  9110. 20652.
 16427. 18339.  7447. 11183. 22369.]","[1.0384e+04 1.3753e+04 8.7440e+03 1.7461e+04 6.0220e+03 3.4470e+03
 3.6530e+03 1.9150e+03 1.0573e+04 1.4870e+03 5.3270e+03 3.4930e+03
 1.3693e+04 1.0102e+04 8.0000e+00]","[  0. 138. 176.  46. 274. 163. 270. 260. 149. 239. 305. 255. 232. 284.
  47.]"
0.04522613065326633,"[12040.  2152.   773.  3826.   779.   272.   213.    64.  2564.    27.
   338.   313.   988.   797.     0.]","[    0.  6947. 13248.  1425. 15905. 18801. 18674. 20705.  9569. 21266.
 17064. 18849.  8925. 12170. 22375.]","[1.0384e+04 1.3151e+04 8.2080e+03 1.7113e+04 5.4460e+03 3.1750e+03
 3.2510e+03 1.3760e+03 1.0114e+04 8.7300e+02 4.6900e+03 2.9830e+03
 1.2215e+04 9.1150e+03 2.0000e+00]","[  0. 174. 195.  60. 294. 176. 286. 279. 177. 258. 332. 279. 296. 342.
  47.]"
