epoch,auc_1,f1_score,loss,precision_1,recall_1,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
12,0.49508076906204224,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859622538089752,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852928340435028,0.0,0.0
13,0.4995811879634857,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28586649894714355,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852942943572998,0.0,0.0
14,0.49833640456199646,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858589291572571,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28528153896331787,0.0,0.0
15,0.500537633895874,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857901155948639,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28529229760169983,0.0,0.0
16,0.5025482773780823,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857644259929657,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852399945259094,0.0,0.0
17,0.49989068508148193,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858082354068756,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28529733419418335,0.0,0.0
18,0.5004560947418213,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28582730889320374,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852843701839447,0.0,0.0
19,0.4976568818092346,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858799695968628,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852798104286194,0.0,0.0
20,0.5006362795829773,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857910096645355,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852511405944824,0.0,0.0
21,0.5009209513664246,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.285812646150589,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852509319782257,0.0,0.0
22,0.5007575154304504,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28578028082847595,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28525570034980774,0.0,0.0
23,0.4979437589645386,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858223617076874,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852762043476105,0.0,0.0
