,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.7219277, shape=(), dtype=float32)","tf.Tensor(0.2247711, shape=(), dtype=float32)","tf.Tensor(0.14722383, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.16709654, shape=(), dtype=float32)","tf.Tensor(0.16015074, shape=(), dtype=float32)","tf.Tensor(0.104395606, shape=(), dtype=float32)","tf.Tensor(0.066947564, shape=(), dtype=float32)","tf.Tensor(0.28946623, shape=(), dtype=float32)","tf.Tensor(0.06428572, shape=(), dtype=float32)","tf.Tensor(0.110500135, shape=(), dtype=float32)","tf.Tensor(0.17118226, shape=(), dtype=float32)","tf.Tensor(0.1119682, shape=(), dtype=float32)","tf.Tensor(0.13428728, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.72668034, shape=(), dtype=float32)","tf.Tensor(0.22873992, shape=(), dtype=float32)","tf.Tensor(0.15789473, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.17316018, shape=(), dtype=float32)","tf.Tensor(0.16482411, shape=(), dtype=float32)","tf.Tensor(0.10933334, shape=(), dtype=float32)","tf.Tensor(0.070145905, shape=(), dtype=float32)","tf.Tensor(0.2990555, shape=(), dtype=float32)","tf.Tensor(0.060991105, shape=(), dtype=float32)","tf.Tensor(0.11577552, shape=(), dtype=float32)","tf.Tensor(0.17831326, shape=(), dtype=float32)","tf.Tensor(0.113240935, shape=(), dtype=float32)","tf.Tensor(0.13988517, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.73129547, shape=(), dtype=float32)","tf.Tensor(0.23200127, shape=(), dtype=float32)","tf.Tensor(0.16347054, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.17994751, shape=(), dtype=float32)","tf.Tensor(0.17107725, shape=(), dtype=float32)","tf.Tensor(0.11297071, shape=(), dtype=float32)","tf.Tensor(0.071694285, shape=(), dtype=float32)","tf.Tensor(0.3068182, shape=(), dtype=float32)","tf.Tensor(0.053285968, shape=(), dtype=float32)","tf.Tensor(0.12334656, shape=(), dtype=float32)","tf.Tensor(0.1843446, shape=(), dtype=float32)","tf.Tensor(0.114415064, shape=(), dtype=float32)","tf.Tensor(0.14513388, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.7336015, shape=(), dtype=float32)","tf.Tensor(0.23619297, shape=(), dtype=float32)","tf.Tensor(0.1674442, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.18543787, shape=(), dtype=float32)","tf.Tensor(0.17483519, shape=(), dtype=float32)","tf.Tensor(0.11574074, shape=(), dtype=float32)","tf.Tensor(0.06758957, shape=(), dtype=float32)","tf.Tensor(0.3150494, shape=(), dtype=float32)","tf.Tensor(0.02955665, shape=(), dtype=float32)","tf.Tensor(0.12854512, shape=(), dtype=float32)","tf.Tensor(0.1890644, shape=(), dtype=float32)","tf.Tensor(0.116558746, shape=(), dtype=float32)","tf.Tensor(0.1513181, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.73425627, shape=(), dtype=float32)","tf.Tensor(0.23915237, shape=(), dtype=float32)","tf.Tensor(0.17262873, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.19348727, shape=(), dtype=float32)","tf.Tensor(0.17749314, shape=(), dtype=float32)","tf.Tensor(0.119388014, shape=(), dtype=float32)","tf.Tensor(0.06802721, shape=(), dtype=float32)","tf.Tensor(0.3222935, shape=(), dtype=float32)","tf.Tensor(0.0130293155, shape=(), dtype=float32)","tf.Tensor(0.13385183, shape=(), dtype=float32)","tf.Tensor(0.19666238, shape=(), dtype=float32)","tf.Tensor(0.118561484, shape=(), dtype=float32)","tf.Tensor(0.15738268, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.73372406, shape=(), dtype=float32)","tf.Tensor(0.24189368, shape=(), dtype=float32)","tf.Tensor(0.17706062, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.19838873, shape=(), dtype=float32)","tf.Tensor(0.18129404, shape=(), dtype=float32)","tf.Tensor(0.12381211, shape=(), dtype=float32)","tf.Tensor(0.06900518, shape=(), dtype=float32)","tf.Tensor(0.32980886, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13956639, shape=(), dtype=float32)","tf.Tensor(0.202977, shape=(), dtype=float32)","tf.Tensor(0.120271705, shape=(), dtype=float32)","tf.Tensor(0.16386293, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.73292685, shape=(), dtype=float32)","tf.Tensor(0.24610114, shape=(), dtype=float32)","tf.Tensor(0.18281765, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.2050532, shape=(), dtype=float32)","tf.Tensor(0.17936616, shape=(), dtype=float32)","tf.Tensor(0.12767203, shape=(), dtype=float32)","tf.Tensor(0.06464925, shape=(), dtype=float32)","tf.Tensor(0.33815274, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14507772, shape=(), dtype=float32)","tf.Tensor(0.20838052, shape=(), dtype=float32)","tf.Tensor(0.12341002, shape=(), dtype=float32)","tf.Tensor(0.16839495, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.7327555, shape=(), dtype=float32)","tf.Tensor(0.2501213, shape=(), dtype=float32)","tf.Tensor(0.18538566, shape=(), dtype=float32)","tf.Tensor(0.30230534, shape=(), dtype=float32)","tf.Tensor(0.2110751, shape=(), dtype=float32)","tf.Tensor(0.18460442, shape=(), dtype=float32)","tf.Tensor(0.128005, shape=(), dtype=float32)","tf.Tensor(0.052545156, shape=(), dtype=float32)","tf.Tensor(0.3456808, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14526659, shape=(), dtype=float32)","tf.Tensor(0.21213907, shape=(), dtype=float32)","tf.Tensor(0.12519354, shape=(), dtype=float32)","tf.Tensor(0.176, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.731839, shape=(), dtype=float32)","tf.Tensor(0.25438705, shape=(), dtype=float32)","tf.Tensor(0.18668623, shape=(), dtype=float32)","tf.Tensor(0.30231678, shape=(), dtype=float32)","tf.Tensor(0.21522933, shape=(), dtype=float32)","tf.Tensor(0.18842225, shape=(), dtype=float32)","tf.Tensor(0.12780194, shape=(), dtype=float32)","tf.Tensor(0.051741295, shape=(), dtype=float32)","tf.Tensor(0.35215154, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14954372, shape=(), dtype=float32)","tf.Tensor(0.21411043, shape=(), dtype=float32)","tf.Tensor(0.12593073, shape=(), dtype=float32)","tf.Tensor(0.18112513, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.73027897, shape=(), dtype=float32)","tf.Tensor(0.25773063, shape=(), dtype=float32)","tf.Tensor(0.18857372, shape=(), dtype=float32)","tf.Tensor(0.30228683, shape=(), dtype=float32)","tf.Tensor(0.2212806, shape=(), dtype=float32)","tf.Tensor(0.18825422, shape=(), dtype=float32)","tf.Tensor(0.13461539, shape=(), dtype=float32)","tf.Tensor(0.048309177, shape=(), dtype=float32)","tf.Tensor(0.358479, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14983922, shape=(), dtype=float32)","tf.Tensor(0.2188896, shape=(), dtype=float32)","tf.Tensor(0.12743682, shape=(), dtype=float32)","tf.Tensor(0.18737504, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
20,"tf.Tensor(0.72736263, shape=(), dtype=float32)","tf.Tensor(0.261886, shape=(), dtype=float32)","tf.Tensor(0.1927129, shape=(), dtype=float32)","tf.Tensor(0.30230972, shape=(), dtype=float32)","tf.Tensor(0.22701102, shape=(), dtype=float32)","tf.Tensor(0.1917692, shape=(), dtype=float32)","tf.Tensor(0.14028507, shape=(), dtype=float32)","tf.Tensor(0.04418262, shape=(), dtype=float32)","tf.Tensor(0.36512822, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15363128, shape=(), dtype=float32)","tf.Tensor(0.22288756, shape=(), dtype=float32)","tf.Tensor(0.12869284, shape=(), dtype=float32)","tf.Tensor(0.19173811, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.7253586, shape=(), dtype=float32)","tf.Tensor(0.26651326, shape=(), dtype=float32)","tf.Tensor(0.18904509, shape=(), dtype=float32)","tf.Tensor(0.30234408, shape=(), dtype=float32)","tf.Tensor(0.23025297, shape=(), dtype=float32)","tf.Tensor(0.196692, shape=(), dtype=float32)","tf.Tensor(0.14473161, shape=(), dtype=float32)","tf.Tensor(0.025641026, shape=(), dtype=float32)","tf.Tensor(0.37252355, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15899582, shape=(), dtype=float32)","tf.Tensor(0.22700855, shape=(), dtype=float32)","tf.Tensor(0.12961462, shape=(), dtype=float32)","tf.Tensor(0.19563378, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.7236169, shape=(), dtype=float32)","tf.Tensor(0.26912892, shape=(), dtype=float32)","tf.Tensor(0.19131361, shape=(), dtype=float32)","tf.Tensor(0.3023899, shape=(), dtype=float32)","tf.Tensor(0.2341234, shape=(), dtype=float32)","tf.Tensor(0.20408164, shape=(), dtype=float32)","tf.Tensor(0.14490312, shape=(), dtype=float32)","tf.Tensor(0.008830022, shape=(), dtype=float32)","tf.Tensor(0.378541, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1642472, shape=(), dtype=float32)","tf.Tensor(0.23155665, shape=(), dtype=float32)","tf.Tensor(0.1305842, shape=(), dtype=float32)","tf.Tensor(0.19675124, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.7203544, shape=(), dtype=float32)","tf.Tensor(0.27126667, shape=(), dtype=float32)","tf.Tensor(0.18656498, shape=(), dtype=float32)","tf.Tensor(0.3023943, shape=(), dtype=float32)","tf.Tensor(0.24028805, shape=(), dtype=float32)","tf.Tensor(0.20854022, shape=(), dtype=float32)","tf.Tensor(0.14558366, shape=(), dtype=float32)","tf.Tensor(0.005154639, shape=(), dtype=float32)","tf.Tensor(0.38350976, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16465324, shape=(), dtype=float32)","tf.Tensor(0.23529412, shape=(), dtype=float32)","tf.Tensor(0.12641567, shape=(), dtype=float32)","tf.Tensor(0.20371456, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.7155654, shape=(), dtype=float32)","tf.Tensor(0.27376202, shape=(), dtype=float32)","tf.Tensor(0.1851613, shape=(), dtype=float32)","tf.Tensor(0.3024331, shape=(), dtype=float32)","tf.Tensor(0.2457879, shape=(), dtype=float32)","tf.Tensor(0.21118662, shape=(), dtype=float32)","tf.Tensor(0.14618249, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.38945413, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16666667, shape=(), dtype=float32)","tf.Tensor(0.23897475, shape=(), dtype=float32)","tf.Tensor(0.12298993, shape=(), dtype=float32)","tf.Tensor(0.20493358, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.7112053, shape=(), dtype=float32)","tf.Tensor(0.27754045, shape=(), dtype=float32)","tf.Tensor(0.18018664, shape=(), dtype=float32)","tf.Tensor(0.3024579, shape=(), dtype=float32)","tf.Tensor(0.24840896, shape=(), dtype=float32)","tf.Tensor(0.21122113, shape=(), dtype=float32)","tf.Tensor(0.14677104, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39495417, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1663158, shape=(), dtype=float32)","tf.Tensor(0.24216634, shape=(), dtype=float32)","tf.Tensor(0.12054681, shape=(), dtype=float32)","tf.Tensor(0.21104848, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
