epoch,accuracy,auc_3,f1_score,loss,val_accuracy,val_auc_3,val_f1_score,val_loss
0,0.00016723154112696648,0.6014459729194641,"""[0.70111215]""",0.6814979910850525,0.0,0.6528683304786682,"""[0.69510317]""",0.6556472778320312
1,0.0,0.6233475208282471,"""[0.70111215]""",0.6679948568344116,0.0,0.6653814911842346,"""[0.69510317]""",0.6494061946868896
2,0.0,0.6562398672103882,"""[0.70111215]""",0.6536949872970581,0.0,0.6795005202293396,"""[0.69510317]""",0.6458345055580139
3,1.114876886276761e-05,0.6720929145812988,"""[0.70110786]""",0.6458538770675659,0.0,0.6880091428756714,"""[0.69510317]""",0.6372887492179871
4,0.0,0.6878116726875305,"""[0.70111215]""",0.6360692381858826,0.0,0.700340211391449,"""[0.69510317]""",0.6293729543685913
5,0.0,0.7018135786056519,"""[0.70111215]""",0.6271350383758545,0.0,0.7131260633468628,"""[0.69510317]""",0.6203509569168091
6,0.0,0.711327850818634,"""[0.70111215]""",0.6208609938621521,0.0,0.7204035520553589,"""[0.69510317]""",0.6164050102233887
7,0.0,0.7199337482452393,"""[0.70111215]""",0.6145074367523193,0.0,0.7299991846084595,"""[0.69510317]""",0.609743595123291
8,0.0,0.7280076742172241,"""[0.70111215]""",0.6084745526313782,0.0,0.7336369156837463,"""[0.69510317]""",0.6059570908546448
9,0.0,0.7344412803649902,"""[0.70111215]""",0.6034443974494934,0.0,0.7402923703193665,"""[0.69510317]""",0.6002770662307739
10,0.0,0.7401480078697205,"""[0.7011028]""",0.5994167923927307,0.0,0.7419132590293884,"""[0.69510317]""",0.5996755957603455
11,0.0,0.7457517981529236,"""[0.70111215]""",0.5945038199424744,0.0,0.7400223612785339,"""[0.69510317]""",0.6036209464073181
12,0.0,0.7503560185432434,"""[0.70111215]""",0.5907970070838928,0.0,0.7407386898994446,"""[0.69510317]""",0.6038294434547424
13,1.114876886276761e-05,0.7549251317977905,"""[0.70111215]""",0.5867555141448975,0.0,0.7456406354904175,"""[0.69510317]""",0.5983973145484924
14,1.114876886276761e-05,0.7583050727844238,"""[0.70111215]""",0.5836548209190369,0.0,0.7467563152313232,"""[0.69510317]""",0.5985931158065796
15,5.574384704232216e-05,0.7635892629623413,"""[0.70111215]""",0.5789891481399536,4.459507545107044e-05,0.7465417385101318,"""[0.69510317]""",0.5973336100578308
16,0.00011148769408464432,0.7683161497116089,"""[0.70111215]""",0.5747810006141663,0.0,0.7408469915390015,"""[0.69510317]""",0.6119848489761353
17,5.574384704232216e-05,0.7738624215126038,"""[0.70111215]""",0.5693382620811462,0.0,0.7413580417633057,"""[0.69510317]""",0.6043378710746765
18,0.0001895290770335123,0.7777809500694275,"""[0.70111215]""",0.5656557679176331,0.0,0.7415866255760193,"""[0.69510317]""",0.6091894507408142
19,0.00022297538816928864,0.795446515083313,"""[0.70111215]""",0.5468654632568359,4.459507545107044e-05,0.7384503483772278,"""[0.69510317]""",0.6190352439880371
20,0.0004125044506508857,0.8052942752838135,"""[0.70111215]""",0.5358861684799194,0.0003121655317954719,0.7369369268417358,"""[0.69510317]""",0.62110435962677
21,0.0009364965953864157,0.8132137060165405,"""[0.70111215]""",0.526924729347229,0.0003121655317954719,0.733084499835968,"""[0.69510317]""",0.6310077905654907
22,0.001059133093804121,0.827319860458374,"""[0.70111215]""",0.5092625021934509,0.0012486621271818876,0.7267749905586243,"""[0.69510317]""",0.6613589525222778
23,0.0015496789710596204,0.8361479043960571,"""[0.70111215]""",0.4981249272823334,0.0012932572280988097,0.7209654450416565,"""[0.69510317]""",0.66977858543396
24,0.0020067784935235977,0.84373939037323,"""[0.70111215]""",0.4874942898750305,0.0018283980898559093,0.7210354208946228,"""[0.69510317]""",0.6801633238792419
25,0.0025642169639468193,0.8516948223114014,"""[0.70111215]""",0.476062536239624,0.003166250418871641,0.71501225233078,"""[0.6951436]""",0.7051158547401428
26,0.0033669283147901297,0.8580904603004456,"""[0.70112234]""",0.4668198823928833,0.0035230109933763742,0.7130067348480225,"""[0.6951436]""",0.7157071828842163
27,0.003790581598877907,0.862957775592804,"""[0.7011578]""",0.45944756269454956,0.004459507763385773,0.7107831239700317,"""[0.6951259]""",0.7326896786689758
28,0.004370317328721285,0.8663627505302429,"""[0.70114255]""",0.4541432857513428,0.003924366552382708,0.7125226855278015,"""[0.6951461]""",0.7333731651306152
29,0.004693632014095783,0.8697114586830139,"""[0.7011934]""",0.4489164352416992,0.003968962002545595,0.7117177248001099,"""[0.6951081]""",0.7405174374580383
30,0.005507491994649172,0.8725136518478394,"""[0.7012238]""",0.4443918466567993,0.00486086355522275,0.7086787819862366,"""[0.69515103]""",0.7519650459289551
31,0.005596681963652372,0.8733021020889282,"""[0.701234]""",0.4434698224067688,0.005217623896896839,0.710996687412262,"""[0.695189]""",0.7503550052642822
32,0.006020335480570793,0.8753984570503235,"""[0.701234]""",0.4398080110549927,0.005351409316062927,0.7092878222465515,"""[0.69520926]""",0.7573769092559814
33,0.006287905853241682,0.8767820596694946,"""[0.70123905]""",0.4374423325061798,0.006020335480570793,0.708601713180542,"""[0.69520926]""",0.7627146244049072
34,0.006555476225912571,0.8772519826889038,"""[0.70128477]""",0.4366430640220642,0.005708169657737017,0.7087273001670837,"""[0.69520926]""",0.7597442269325256
35,0.006566625088453293,0.8777327537536621,"""[0.7013102]""",0.4358530342578888,0.005931145045906305,0.7084277272224426,"""[0.69520926]""",0.7657145261764526
