,No Finding
0,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
1,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
2,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
3,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
4,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
5,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
6,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
7,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
8,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
9,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
10,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
11,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
12,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
13,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
14,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
15,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
16,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
17,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
18,"tf.Tensor(0.70160097, shape=(), dtype=float32)"
19,"tf.Tensor(0.7016213, shape=(), dtype=float32)"
20,"tf.Tensor(0.7016416, shape=(), dtype=float32)"
21,"tf.Tensor(0.70166194, shape=(), dtype=float32)"
22,"tf.Tensor(0.70186514, shape=(), dtype=float32)"
23,"tf.Tensor(0.7019119, shape=(), dtype=float32)"
24,"tf.Tensor(0.7021622, shape=(), dtype=float32)"
25,"tf.Tensor(0.7025695, shape=(), dtype=float32)"
26,"tf.Tensor(0.7026321, shape=(), dtype=float32)"
27,"tf.Tensor(0.7028691, shape=(), dtype=float32)"
28,"tf.Tensor(0.7030546, shape=(), dtype=float32)"
29,"tf.Tensor(0.7032609, shape=(), dtype=float32)"
30,"tf.Tensor(0.7035656, shape=(), dtype=float32)"
31,"tf.Tensor(0.7044738, shape=(), dtype=float32)"
32,"tf.Tensor(0.7050044, shape=(), dtype=float32)"
33,"tf.Tensor(0.70608246, shape=(), dtype=float32)"
34,"tf.Tensor(0.70642525, shape=(), dtype=float32)"
35,"tf.Tensor(0.70705163, shape=(), dtype=float32)"
36,"tf.Tensor(0.7083161, shape=(), dtype=float32)"
37,"tf.Tensor(0.7092329, shape=(), dtype=float32)"
38,"tf.Tensor(0.71017563, shape=(), dtype=float32)"
39,"tf.Tensor(0.7115316, shape=(), dtype=float32)"
40,"tf.Tensor(0.7126665, shape=(), dtype=float32)"
41,"tf.Tensor(0.7133758, shape=(), dtype=float32)"
42,"tf.Tensor(0.714459, shape=(), dtype=float32)"
43,"tf.Tensor(0.71516037, shape=(), dtype=float32)"
44,"tf.Tensor(0.7166759, shape=(), dtype=float32)"
45,"tf.Tensor(0.7170183, shape=(), dtype=float32)"
46,"tf.Tensor(0.7172418, shape=(), dtype=float32)"
47,"tf.Tensor(0.7176932, shape=(), dtype=float32)"
48,"tf.Tensor(0.71864235, shape=(), dtype=float32)"
49,"tf.Tensor(0.71966213, shape=(), dtype=float32)"
50,"tf.Tensor(0.7208624, shape=(), dtype=float32)"
51,"tf.Tensor(0.7216232, shape=(), dtype=float32)"
52,"tf.Tensor(0.72289157, shape=(), dtype=float32)"
53,"tf.Tensor(0.72417253, shape=(), dtype=float32)"
54,"tf.Tensor(0.7256372, shape=(), dtype=float32)"
55,"tf.Tensor(0.7262753, shape=(), dtype=float32)"
56,"tf.Tensor(0.7264372, shape=(), dtype=float32)"
57,"tf.Tensor(0.7273877, shape=(), dtype=float32)"
58,"tf.Tensor(0.72750443, shape=(), dtype=float32)"
59,"tf.Tensor(0.72811466, shape=(), dtype=float32)"
60,"tf.Tensor(0.7290228, shape=(), dtype=float32)"
61,"tf.Tensor(0.7293908, shape=(), dtype=float32)"
62,"tf.Tensor(0.72988266, shape=(), dtype=float32)"
63,"tf.Tensor(0.7301477, shape=(), dtype=float32)"
64,"tf.Tensor(0.730679, shape=(), dtype=float32)"
65,"tf.Tensor(0.7312465, shape=(), dtype=float32)"
66,"tf.Tensor(0.7309645, shape=(), dtype=float32)"
67,"tf.Tensor(0.73154, shape=(), dtype=float32)"
68,"tf.Tensor(0.7311217, shape=(), dtype=float32)"
69,"tf.Tensor(0.73138595, shape=(), dtype=float32)"
70,"tf.Tensor(0.7313923, shape=(), dtype=float32)"
71,"tf.Tensor(0.7311054, shape=(), dtype=float32)"
72,"tf.Tensor(0.7310182, shape=(), dtype=float32)"
73,"tf.Tensor(0.73044384, shape=(), dtype=float32)"
74,"tf.Tensor(0.72944796, shape=(), dtype=float32)"
75,"tf.Tensor(0.7290235, shape=(), dtype=float32)"
76,"tf.Tensor(0.72897977, shape=(), dtype=float32)"
77,"tf.Tensor(0.7286703, shape=(), dtype=float32)"
78,"tf.Tensor(0.7280071, shape=(), dtype=float32)"
79,"tf.Tensor(0.72628766, shape=(), dtype=float32)"
80,"tf.Tensor(0.7242507, shape=(), dtype=float32)"
81,"tf.Tensor(0.72350085, shape=(), dtype=float32)"
82,"tf.Tensor(0.72260594, shape=(), dtype=float32)"
83,"tf.Tensor(0.72202533, shape=(), dtype=float32)"
84,"tf.Tensor(0.721507, shape=(), dtype=float32)"
85,"tf.Tensor(0.72047865, shape=(), dtype=float32)"
86,"tf.Tensor(0.72017145, shape=(), dtype=float32)"
87,"tf.Tensor(0.71964365, shape=(), dtype=float32)"
88,"tf.Tensor(0.71836114, shape=(), dtype=float32)"
89,"tf.Tensor(0.7178623, shape=(), dtype=float32)"
