epoch,accuracy,auc_1,f1_score,loss,val_accuracy,val_auc_1,val_f1_score,val_loss
0,8.919015090214089e-05,0.5925276279449463,"""[0.70021373]""",0.6841297149658203,0.0,0.5461417436599731,"""[0.6987001]""",0.6959272623062134
1,0.0,0.5620484352111816,"""[0.7002181]""",0.6839133501052856,0.0,0.49999338388442993,"""[0.6987001]""",0.6901199817657471
2,0.0,0.4995432496070862,"""[0.7002181]""",0.6903119087219238,0.0,0.5,"""[0.6987001]""",0.6901757121086121
3,0.0,0.49914494156837463,"""[0.7002181]""",0.6902490258216858,0.0,0.5,"""[0.6987001]""",0.6908052563667297
4,0.0,0.4993424713611603,"""[0.7002181]""",0.6902182698249817,0.0,0.5,"""[0.6987001]""",0.6904638409614563
5,0.0,0.4994557499885559,"""[0.7002181]""",0.6901893615722656,0.0,0.5,"""[0.6987001]""",0.6905753016471863
6,0.0,0.49893394112586975,"""[0.7002181]""",0.6901906728744507,0.0,0.5,"""[0.6987001]""",0.6902844309806824
7,0.0,0.4989834129810333,"""[0.7002181]""",0.6902021765708923,0.0,0.5,"""[0.6987001]""",0.6902844309806824
8,0.0,0.4982668161392212,"""[0.7002181]""",0.6901698112487793,0.0,0.5,"""[0.6987001]""",0.6905195713043213
9,0.0,0.49755674600601196,"""[0.7002181]""",0.6901649236679077,0.0,0.5,"""[0.6987001]""",0.6905195713043213
10,0.0,0.4981593191623688,"""[0.7002181]""",0.6901766657829285,0.0,0.5,"""[0.6987001]""",0.6905195713043213
11,0.0,0.49921050667762756,"""[0.7002181]""",0.6901757121086121,0.0,0.5,"""[0.6987001]""",0.6904927492141724
12,0.0,0.4986781179904938,"""[0.7002181]""",0.6901648044586182,0.0,0.5,"""[0.6987001]""",0.6904927492141724
13,0.0,0.49890607595443726,"""[0.7002181]""",0.6901698112487793,0.0,0.5,"""[0.6987001]""",0.6904927492141724
14,0.0,0.4986605644226074,"""[0.7002181]""",0.6902304887771606,0.0,0.5,"""[0.6987001]""",0.6904927492141724
15,0.0,0.4982876479625702,"""[0.7002181]""",0.6902197003364563,0.0,0.5,"""[0.6987001]""",0.6905941367149353
16,0.0,0.4980626702308655,"""[0.7002181]""",0.6902238130569458,0.0,0.5,"""[0.6987001]""",0.6904927492141724
17,0.0,0.5,"""[0.7002181]""",0.690156102180481,0.0,0.5,"""[0.6987001]""",0.6904927492141724
18,0.0,0.5,"""[0.7002181]""",0.690183699131012,0.0,0.5,"""[0.6987001]""",0.6904927492141724
19,0.0,0.5,"""[0.7002181]""",0.6901851892471313,0.0,0.5,"""[0.6987001]""",0.6904927492141724
20,0.0,0.5,"""[0.7002181]""",0.6901469826698303,0.0,0.5,"""[0.6987001]""",0.6904927492141724
21,0.0,0.5,"""[0.7002181]""",0.6901453733444214,0.0,0.5,"""[0.6987001]""",0.6904927492141724
