,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.7189749, shape=(), dtype=float32)","tf.Tensor(0.22358575, shape=(), dtype=float32)","tf.Tensor(0.14076246, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.16248484, shape=(), dtype=float32)","tf.Tensor(0.14122622, shape=(), dtype=float32)","tf.Tensor(0.09691488, shape=(), dtype=float32)","tf.Tensor(0.06158968, shape=(), dtype=float32)","tf.Tensor(0.28237104, shape=(), dtype=float32)","tf.Tensor(0.053608246, shape=(), dtype=float32)","tf.Tensor(0.10354162, shape=(), dtype=float32)","tf.Tensor(0.17183226, shape=(), dtype=float32)","tf.Tensor(0.11095713, shape=(), dtype=float32)","tf.Tensor(0.12382644, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.72369653, shape=(), dtype=float32)","tf.Tensor(0.2279559, shape=(), dtype=float32)","tf.Tensor(0.14661135, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.17116843, shape=(), dtype=float32)","tf.Tensor(0.14637421, shape=(), dtype=float32)","tf.Tensor(0.10429779, shape=(), dtype=float32)","tf.Tensor(0.062438544, shape=(), dtype=float32)","tf.Tensor(0.2887519, shape=(), dtype=float32)","tf.Tensor(0.055020634, shape=(), dtype=float32)","tf.Tensor(0.1104093, shape=(), dtype=float32)","tf.Tensor(0.17833456, shape=(), dtype=float32)","tf.Tensor(0.11132201, shape=(), dtype=float32)","tf.Tensor(0.12805128, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.7259718, shape=(), dtype=float32)","tf.Tensor(0.23190242, shape=(), dtype=float32)","tf.Tensor(0.1546797, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.18069011, shape=(), dtype=float32)","tf.Tensor(0.14834124, shape=(), dtype=float32)","tf.Tensor(0.10707912, shape=(), dtype=float32)","tf.Tensor(0.06521089, shape=(), dtype=float32)","tf.Tensor(0.2953739, shape=(), dtype=float32)","tf.Tensor(0.052336447, shape=(), dtype=float32)","tf.Tensor(0.1177297, shape=(), dtype=float32)","tf.Tensor(0.18372704, shape=(), dtype=float32)","tf.Tensor(0.1126168, shape=(), dtype=float32)","tf.Tensor(0.1326396, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.72748685, shape=(), dtype=float32)","tf.Tensor(0.23625897, shape=(), dtype=float32)","tf.Tensor(0.16120964, shape=(), dtype=float32)","tf.Tensor(0.30238104, shape=(), dtype=float32)","tf.Tensor(0.18719327, shape=(), dtype=float32)","tf.Tensor(0.15411559, shape=(), dtype=float32)","tf.Tensor(0.111961514, shape=(), dtype=float32)","tf.Tensor(0.067997046, shape=(), dtype=float32)","tf.Tensor(0.3019049, shape=(), dtype=float32)","tf.Tensor(0.03508772, shape=(), dtype=float32)","tf.Tensor(0.1233604, shape=(), dtype=float32)","tf.Tensor(0.18858422, shape=(), dtype=float32)","tf.Tensor(0.11321519, shape=(), dtype=float32)","tf.Tensor(0.13846396, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.72941905, shape=(), dtype=float32)","tf.Tensor(0.23994188, shape=(), dtype=float32)","tf.Tensor(0.16598213, shape=(), dtype=float32)","tf.Tensor(0.30240393, shape=(), dtype=float32)","tf.Tensor(0.19411911, shape=(), dtype=float32)","tf.Tensor(0.15775542, shape=(), dtype=float32)","tf.Tensor(0.11370754, shape=(), dtype=float32)","tf.Tensor(0.07287823, shape=(), dtype=float32)","tf.Tensor(0.30839393, shape=(), dtype=float32)","tf.Tensor(0.0065146578, shape=(), dtype=float32)","tf.Tensor(0.12828891, shape=(), dtype=float32)","tf.Tensor(0.1951074, shape=(), dtype=float32)","tf.Tensor(0.1142525, shape=(), dtype=float32)","tf.Tensor(0.14367375, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.72946525, shape=(), dtype=float32)","tf.Tensor(0.2445977, shape=(), dtype=float32)","tf.Tensor(0.17151648, shape=(), dtype=float32)","tf.Tensor(0.30240393, shape=(), dtype=float32)","tf.Tensor(0.19883196, shape=(), dtype=float32)","tf.Tensor(0.16111112, shape=(), dtype=float32)","tf.Tensor(0.116749935, shape=(), dtype=float32)","tf.Tensor(0.0738255, shape=(), dtype=float32)","tf.Tensor(0.31488174, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1348272, shape=(), dtype=float32)","tf.Tensor(0.19792649, shape=(), dtype=float32)","tf.Tensor(0.11531013, shape=(), dtype=float32)","tf.Tensor(0.14942318, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.72954637, shape=(), dtype=float32)","tf.Tensor(0.24859758, shape=(), dtype=float32)","tf.Tensor(0.17583911, shape=(), dtype=float32)","tf.Tensor(0.30242684, shape=(), dtype=float32)","tf.Tensor(0.20674157, shape=(), dtype=float32)","tf.Tensor(0.16437554, shape=(), dtype=float32)","tf.Tensor(0.122171946, shape=(), dtype=float32)","tf.Tensor(0.075817, shape=(), dtype=float32)","tf.Tensor(0.32116503, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14131339, shape=(), dtype=float32)","tf.Tensor(0.20119523, shape=(), dtype=float32)","tf.Tensor(0.11757166, shape=(), dtype=float32)","tf.Tensor(0.1557168, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.72972876, shape=(), dtype=float32)","tf.Tensor(0.25115097, shape=(), dtype=float32)","tf.Tensor(0.17955327, shape=(), dtype=float32)","tf.Tensor(0.30247265, shape=(), dtype=float32)","tf.Tensor(0.21166691, shape=(), dtype=float32)","tf.Tensor(0.16811414, shape=(), dtype=float32)","tf.Tensor(0.124317765, shape=(), dtype=float32)","tf.Tensor(0.07763975, shape=(), dtype=float32)","tf.Tensor(0.32768816, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14593247, shape=(), dtype=float32)","tf.Tensor(0.20967741, shape=(), dtype=float32)","tf.Tensor(0.11823026, shape=(), dtype=float32)","tf.Tensor(0.16205451, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.7284408, shape=(), dtype=float32)","tf.Tensor(0.25410858, shape=(), dtype=float32)","tf.Tensor(0.1842306, shape=(), dtype=float32)","tf.Tensor(0.302507, shape=(), dtype=float32)","tf.Tensor(0.21797083, shape=(), dtype=float32)","tf.Tensor(0.1706998, shape=(), dtype=float32)","tf.Tensor(0.12818836, shape=(), dtype=float32)","tf.Tensor(0.05823476, shape=(), dtype=float32)","tf.Tensor(0.3323217, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1485, shape=(), dtype=float32)","tf.Tensor(0.21267135, shape=(), dtype=float32)","tf.Tensor(0.120399125, shape=(), dtype=float32)","tf.Tensor(0.16491385, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.7272253, shape=(), dtype=float32)","tf.Tensor(0.25804806, shape=(), dtype=float32)","tf.Tensor(0.18883842, shape=(), dtype=float32)","tf.Tensor(0.30254138, shape=(), dtype=float32)","tf.Tensor(0.22247934, shape=(), dtype=float32)","tf.Tensor(0.17268662, shape=(), dtype=float32)","tf.Tensor(0.12916963, shape=(), dtype=float32)","tf.Tensor(0.04535637, shape=(), dtype=float32)","tf.Tensor(0.33722824, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15237576, shape=(), dtype=float32)","tf.Tensor(0.22093023, shape=(), dtype=float32)","tf.Tensor(0.12255319, shape=(), dtype=float32)","tf.Tensor(0.16809523, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
