,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.6949158, shape=(), dtype=float32)","tf.Tensor(0.26071697, shape=(), dtype=float32)","tf.Tensor(0.15197381, shape=(), dtype=float32)","tf.Tensor(0.3114754, shape=(), dtype=float32)","tf.Tensor(0.20295829, shape=(), dtype=float32)","tf.Tensor(0.16452037, shape=(), dtype=float32)","tf.Tensor(0.12476684, shape=(), dtype=float32)","tf.Tensor(0.044198897, shape=(), dtype=float32)","tf.Tensor(0.35059986, shape=(), dtype=float32)","tf.Tensor(0.057377048, shape=(), dtype=float32)","tf.Tensor(0.13224182, shape=(), dtype=float32)","tf.Tensor(0.2134905, shape=(), dtype=float32)","tf.Tensor(0.13684686, shape=(), dtype=float32)","tf.Tensor(0.15352298, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.6949158, shape=(), dtype=float32)","tf.Tensor(0.2649422, shape=(), dtype=float32)","tf.Tensor(0.16101322, shape=(), dtype=float32)","tf.Tensor(0.31317577, shape=(), dtype=float32)","tf.Tensor(0.21086508, shape=(), dtype=float32)","tf.Tensor(0.1687289, shape=(), dtype=float32)","tf.Tensor(0.12842779, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.35651037, shape=(), dtype=float32)","tf.Tensor(0.047210302, shape=(), dtype=float32)","tf.Tensor(0.13654247, shape=(), dtype=float32)","tf.Tensor(0.20900077, shape=(), dtype=float32)","tf.Tensor(0.14201769, shape=(), dtype=float32)","tf.Tensor(0.15772572, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.6949158, shape=(), dtype=float32)","tf.Tensor(0.27091306, shape=(), dtype=float32)","tf.Tensor(0.16712493, shape=(), dtype=float32)","tf.Tensor(0.31493303, shape=(), dtype=float32)","tf.Tensor(0.21858817, shape=(), dtype=float32)","tf.Tensor(0.17373009, shape=(), dtype=float32)","tf.Tensor(0.132033, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3623102, shape=(), dtype=float32)","tf.Tensor(0.018461538, shape=(), dtype=float32)","tf.Tensor(0.13890287, shape=(), dtype=float32)","tf.Tensor(0.20376712, shape=(), dtype=float32)","tf.Tensor(0.14905956, shape=(), dtype=float32)","tf.Tensor(0.16357487, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.27681118, shape=(), dtype=float32)","tf.Tensor(0.17133956, shape=(), dtype=float32)","tf.Tensor(0.31635535, shape=(), dtype=float32)","tf.Tensor(0.22292264, shape=(), dtype=float32)","tf.Tensor(0.1801282, shape=(), dtype=float32)","tf.Tensor(0.13537955, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.36892316, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1368738, shape=(), dtype=float32)","tf.Tensor(0.20729366, shape=(), dtype=float32)","tf.Tensor(0.15198258, shape=(), dtype=float32)","tf.Tensor(0.16501868, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.2812244, shape=(), dtype=float32)","tf.Tensor(0.17607602, shape=(), dtype=float32)","tf.Tensor(0.3186226, shape=(), dtype=float32)","tf.Tensor(0.22838204, shape=(), dtype=float32)","tf.Tensor(0.18351156, shape=(), dtype=float32)","tf.Tensor(0.13855422, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3734893, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13888074, shape=(), dtype=float32)","tf.Tensor(0.20646507, shape=(), dtype=float32)","tf.Tensor(0.1574468, shape=(), dtype=float32)","tf.Tensor(0.1688388, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.28515777, shape=(), dtype=float32)","tf.Tensor(0.18214607, shape=(), dtype=float32)","tf.Tensor(0.3204826, shape=(), dtype=float32)","tf.Tensor(0.23350735, shape=(), dtype=float32)","tf.Tensor(0.18655895, shape=(), dtype=float32)","tf.Tensor(0.1406198, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.37803808, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13903743, shape=(), dtype=float32)","tf.Tensor(0.19845645, shape=(), dtype=float32)","tf.Tensor(0.16128686, shape=(), dtype=float32)","tf.Tensor(0.17248306, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.29009375, shape=(), dtype=float32)","tf.Tensor(0.18637532, shape=(), dtype=float32)","tf.Tensor(0.32237744, shape=(), dtype=float32)","tf.Tensor(0.24046242, shape=(), dtype=float32)","tf.Tensor(0.19285715, shape=(), dtype=float32)","tf.Tensor(0.14087674, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3821085, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14454576, shape=(), dtype=float32)","tf.Tensor(0.1974148, shape=(), dtype=float32)","tf.Tensor(0.16686617, shape=(), dtype=float32)","tf.Tensor(0.17639951, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.29262888, shape=(), dtype=float32)","tf.Tensor(0.19001721, shape=(), dtype=float32)","tf.Tensor(0.325253, shape=(), dtype=float32)","tf.Tensor(0.24571726, shape=(), dtype=float32)","tf.Tensor(0.19596046, shape=(), dtype=float32)","tf.Tensor(0.14341253, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.38557628, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14373866, shape=(), dtype=float32)","tf.Tensor(0.19141105, shape=(), dtype=float32)","tf.Tensor(0.16818723, shape=(), dtype=float32)","tf.Tensor(0.18036072, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.2950147, shape=(), dtype=float32)","tf.Tensor(0.1954612, shape=(), dtype=float32)","tf.Tensor(0.3275172, shape=(), dtype=float32)","tf.Tensor(0.24932347, shape=(), dtype=float32)","tf.Tensor(0.19476344, shape=(), dtype=float32)","tf.Tensor(0.14112903, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39151907, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1418055, shape=(), dtype=float32)","tf.Tensor(0.18950064, shape=(), dtype=float32)","tf.Tensor(0.17210944, shape=(), dtype=float32)","tf.Tensor(0.18248065, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.694936, shape=(), dtype=float32)","tf.Tensor(0.29807064, shape=(), dtype=float32)","tf.Tensor(0.19867808, shape=(), dtype=float32)","tf.Tensor(0.33001837, shape=(), dtype=float32)","tf.Tensor(0.25112614, shape=(), dtype=float32)","tf.Tensor(0.19770345, shape=(), dtype=float32)","tf.Tensor(0.13186814, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39546248, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1394572, shape=(), dtype=float32)","tf.Tensor(0.19363396, shape=(), dtype=float32)","tf.Tensor(0.17559864, shape=(), dtype=float32)","tf.Tensor(0.18390805, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
