,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.24764776, shape=(), dtype=float32)","tf.Tensor(0.16081902, shape=(), dtype=float32)","tf.Tensor(0.30613962, shape=(), dtype=float32)","tf.Tensor(0.20559089, shape=(), dtype=float32)","tf.Tensor(0.14824447, shape=(), dtype=float32)","tf.Tensor(0.10966416, shape=(), dtype=float32)","tf.Tensor(0.0729927, shape=(), dtype=float32)","tf.Tensor(0.3246745, shape=(), dtype=float32)","tf.Tensor(0.06185567, shape=(), dtype=float32)","tf.Tensor(0.12495134, shape=(), dtype=float32)","tf.Tensor(0.1543922, shape=(), dtype=float32)","tf.Tensor(0.12336495, shape=(), dtype=float32)","tf.Tensor(0.15527819, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2535584, shape=(), dtype=float32)","tf.Tensor(0.1642414, shape=(), dtype=float32)","tf.Tensor(0.30862096, shape=(), dtype=float32)","tf.Tensor(0.21312, shape=(), dtype=float32)","tf.Tensor(0.15185602, shape=(), dtype=float32)","tf.Tensor(0.11448598, shape=(), dtype=float32)","tf.Tensor(0.062432725, shape=(), dtype=float32)","tf.Tensor(0.33272445, shape=(), dtype=float32)","tf.Tensor(0.05995204, shape=(), dtype=float32)","tf.Tensor(0.13098022, shape=(), dtype=float32)","tf.Tensor(0.16029055, shape=(), dtype=float32)","tf.Tensor(0.12507614, shape=(), dtype=float32)","tf.Tensor(0.16284457, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.25774345, shape=(), dtype=float32)","tf.Tensor(0.16847114, shape=(), dtype=float32)","tf.Tensor(0.3104959, shape=(), dtype=float32)","tf.Tensor(0.21731691, shape=(), dtype=float32)","tf.Tensor(0.15324284, shape=(), dtype=float32)","tf.Tensor(0.1183223, shape=(), dtype=float32)","tf.Tensor(0.056657225, shape=(), dtype=float32)","tf.Tensor(0.33916742, shape=(), dtype=float32)","tf.Tensor(0.05324459, shape=(), dtype=float32)","tf.Tensor(0.13397568, shape=(), dtype=float32)","tf.Tensor(0.1657867, shape=(), dtype=float32)","tf.Tensor(0.12839507, shape=(), dtype=float32)","tf.Tensor(0.16750251, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2618157, shape=(), dtype=float32)","tf.Tensor(0.17016992, shape=(), dtype=float32)","tf.Tensor(0.3125985, shape=(), dtype=float32)","tf.Tensor(0.22355944, shape=(), dtype=float32)","tf.Tensor(0.15300193, shape=(), dtype=float32)","tf.Tensor(0.1209068, shape=(), dtype=float32)","tf.Tensor(0.052447554, shape=(), dtype=float32)","tf.Tensor(0.34677014, shape=(), dtype=float32)","tf.Tensor(0.041322313, shape=(), dtype=float32)","tf.Tensor(0.13699308, shape=(), dtype=float32)","tf.Tensor(0.17156017, shape=(), dtype=float32)","tf.Tensor(0.13156357, shape=(), dtype=float32)","tf.Tensor(0.16972478, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2667139, shape=(), dtype=float32)","tf.Tensor(0.17505004, shape=(), dtype=float32)","tf.Tensor(0.31440425, shape=(), dtype=float32)","tf.Tensor(0.2288152, shape=(), dtype=float32)","tf.Tensor(0.15661816, shape=(), dtype=float32)","tf.Tensor(0.125, shape=(), dtype=float32)","tf.Tensor(0.050632913, shape=(), dtype=float32)","tf.Tensor(0.35334224, shape=(), dtype=float32)","tf.Tensor(0.024570024, shape=(), dtype=float32)","tf.Tensor(0.14038819, shape=(), dtype=float32)","tf.Tensor(0.17551531, shape=(), dtype=float32)","tf.Tensor(0.13320842, shape=(), dtype=float32)","tf.Tensor(0.17323516, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.27084103, shape=(), dtype=float32)","tf.Tensor(0.17667845, shape=(), dtype=float32)","tf.Tensor(0.31645945, shape=(), dtype=float32)","tf.Tensor(0.23522142, shape=(), dtype=float32)","tf.Tensor(0.16041979, shape=(), dtype=float32)","tf.Tensor(0.124756336, shape=(), dtype=float32)","tf.Tensor(0.028846154, shape=(), dtype=float32)","tf.Tensor(0.35821348, shape=(), dtype=float32)","tf.Tensor(0.0114613185, shape=(), dtype=float32)","tf.Tensor(0.1398522, shape=(), dtype=float32)","tf.Tensor(0.17994688, shape=(), dtype=float32)","tf.Tensor(0.13466229, shape=(), dtype=float32)","tf.Tensor(0.17646152, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.27480564, shape=(), dtype=float32)","tf.Tensor(0.18072289, shape=(), dtype=float32)","tf.Tensor(0.3184921, shape=(), dtype=float32)","tf.Tensor(0.23825137, shape=(), dtype=float32)","tf.Tensor(0.15857606, shape=(), dtype=float32)","tf.Tensor(0.11909949, shape=(), dtype=float32)","tf.Tensor(0.021563342, shape=(), dtype=float32)","tf.Tensor(0.3637501, shape=(), dtype=float32)","tf.Tensor(0.012307692, shape=(), dtype=float32)","tf.Tensor(0.13904068, shape=(), dtype=float32)","tf.Tensor(0.1836299, shape=(), dtype=float32)","tf.Tensor(0.13193768, shape=(), dtype=float32)","tf.Tensor(0.1791728, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2784301, shape=(), dtype=float32)","tf.Tensor(0.18568914, shape=(), dtype=float32)","tf.Tensor(0.31980866, shape=(), dtype=float32)","tf.Tensor(0.2428012, shape=(), dtype=float32)","tf.Tensor(0.16403508, shape=(), dtype=float32)","tf.Tensor(0.12179487, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.36810502, shape=(), dtype=float32)","tf.Tensor(0.006802721, shape=(), dtype=float32)","tf.Tensor(0.14466429, shape=(), dtype=float32)","tf.Tensor(0.18870784, shape=(), dtype=float32)","tf.Tensor(0.13471356, shape=(), dtype=float32)","tf.Tensor(0.18040435, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.28168306, shape=(), dtype=float32)","tf.Tensor(0.18665756, shape=(), dtype=float32)","tf.Tensor(0.32122388, shape=(), dtype=float32)","tf.Tensor(0.24262929, shape=(), dtype=float32)","tf.Tensor(0.16643026, shape=(), dtype=float32)","tf.Tensor(0.120567374, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.37344262, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14418764, shape=(), dtype=float32)","tf.Tensor(0.19551934, shape=(), dtype=float32)","tf.Tensor(0.13566084, shape=(), dtype=float32)","tf.Tensor(0.18406244, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2831905, shape=(), dtype=float32)","tf.Tensor(0.18560812, shape=(), dtype=float32)","tf.Tensor(0.32298747, shape=(), dtype=float32)","tf.Tensor(0.24129228, shape=(), dtype=float32)","tf.Tensor(0.16820513, shape=(), dtype=float32)","tf.Tensor(0.1161665, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.37674105, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14491682, shape=(), dtype=float32)","tf.Tensor(0.20077889, shape=(), dtype=float32)","tf.Tensor(0.13160442, shape=(), dtype=float32)","tf.Tensor(0.18527678, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
