epoch,auc_4,loss,val_auc_4,val_loss
0,0.6031726598739624,0.21996626257896423,0.499844491481781,0.23256970942020416
1,0.615225076675415,0.2094615250825882,0.6015328764915466,0.21055077016353607
2,0.6160137057304382,0.20883318781852722,0.5,0.22792617976665497
3,0.6078936457633972,0.21009956300258636,0.6124234795570374,0.21166056394577026
4,0.618247389793396,0.20805752277374268,0.6421329379081726,0.20523324608802795
5,0.6236007213592529,0.2071569412946701,0.5702468156814575,0.21586327254772186
6,0.6075353026390076,0.20933973789215088,0.5115326046943665,0.22116298973560333
7,0.6083421111106873,0.20953884720802307,0.5000070929527283,0.2180113047361374
8,0.598093569278717,0.2101491540670395,0.6170728206634521,0.2073228359222412
9,0.6326211094856262,0.20568910241127014,0.5,0.22833704948425293
10,0.640417218208313,0.20447362959384918,0.6305593252182007,0.20969323813915253
11,0.6465590596199036,0.2025134116411209,0.6411662697792053,0.20658612251281738
12,0.6545547246932983,0.20157793164253235,0.6201345920562744,0.21377117931842804
13,0.6570256948471069,0.20139558613300323,0.6463640332221985,0.20796175301074982
14,0.6623098850250244,0.20034217834472656,0.6678076982498169,0.20136705040931702
15,0.6652418971061707,0.19995465874671936,0.6610396504402161,0.20644865930080414
16,0.665475070476532,0.1998676061630249,0.6669302582740784,0.20759247243404388
17,0.6688455939292908,0.19954195618629456,0.6671631932258606,0.2040611207485199
18,0.6697720885276794,0.19904306530952454,0.6716042757034302,0.20456025004386902
19,0.6722907423973083,0.1989850550889969,0.667987585067749,0.2038436233997345
20,0.6735774874687195,0.19889606535434723,0.670196533203125,0.202897846698761
21,0.6746424436569214,0.19864574074745178,0.6723548769950867,0.2030262053012848
22,0.6763026118278503,0.19844385981559753,0.6733262538909912,0.20466779172420502
23,0.6761993765830994,0.198388934135437,0.6696932315826416,0.20520256459712982
24,0.6766245365142822,0.19828388094902039,0.6732929348945618,0.2038705050945282
25,0.6777113676071167,0.19816917181015015,0.6745051145553589,0.20315021276474
26,0.6764463186264038,0.1982526332139969,0.6730873584747314,0.20508086681365967
27,0.6801288723945618,0.19808796048164368,0.6748095154762268,0.20432277023792267
28,0.678384006023407,0.19817207753658295,0.6751651763916016,0.2045377641916275
29,0.6777163147926331,0.19806607067584991,0.6743342280387878,0.20488497614860535
30,0.6791117191314697,0.19798800349235535,0.6742106676101685,0.20475393533706665
31,0.680950403213501,0.19793064892292023,0.6750295162200928,0.20416593551635742
32,0.6782123446464539,0.198103129863739,0.6744078397750854,0.20476190745830536
33,0.6792616248130798,0.19790920615196228,0.674091637134552,0.20469488203525543
34,0.6785294413566589,0.19802750647068024,0.6743844747543335,0.20456841588020325
