,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.24520981, shape=(), dtype=float32)","tf.Tensor(0.16108412, shape=(), dtype=float32)","tf.Tensor(0.30435288, shape=(), dtype=float32)","tf.Tensor(0.2073387, shape=(), dtype=float32)","tf.Tensor(0.16485658, shape=(), dtype=float32)","tf.Tensor(0.11122397, shape=(), dtype=float32)","tf.Tensor(0.010335918, shape=(), dtype=float32)","tf.Tensor(0.34766382, shape=(), dtype=float32)","tf.Tensor(0.053913042, shape=(), dtype=float32)","tf.Tensor(0.12737711, shape=(), dtype=float32)","tf.Tensor(0.23459096, shape=(), dtype=float32)","tf.Tensor(0.12887189, shape=(), dtype=float32)","tf.Tensor(0.16859145, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.2529139, shape=(), dtype=float32)","tf.Tensor(0.16593768, shape=(), dtype=float32)","tf.Tensor(0.30604175, shape=(), dtype=float32)","tf.Tensor(0.21314798, shape=(), dtype=float32)","tf.Tensor(0.16976127, shape=(), dtype=float32)","tf.Tensor(0.112510495, shape=(), dtype=float32)","tf.Tensor(0.006024096, shape=(), dtype=float32)","tf.Tensor(0.354822, shape=(), dtype=float32)","tf.Tensor(0.04513064, shape=(), dtype=float32)","tf.Tensor(0.13231252, shape=(), dtype=float32)","tf.Tensor(0.24483179, shape=(), dtype=float32)","tf.Tensor(0.13322173, shape=(), dtype=float32)","tf.Tensor(0.1752389, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.25908852, shape=(), dtype=float32)","tf.Tensor(0.16962866, shape=(), dtype=float32)","tf.Tensor(0.30847472, shape=(), dtype=float32)","tf.Tensor(0.21767044, shape=(), dtype=float32)","tf.Tensor(0.17399497, shape=(), dtype=float32)","tf.Tensor(0.11439114, shape=(), dtype=float32)","tf.Tensor(0.0061919503, shape=(), dtype=float32)","tf.Tensor(0.3614147, shape=(), dtype=float32)","tf.Tensor(0.048701297, shape=(), dtype=float32)","tf.Tensor(0.13653928, shape=(), dtype=float32)","tf.Tensor(0.25394046, shape=(), dtype=float32)","tf.Tensor(0.13492307, shape=(), dtype=float32)","tf.Tensor(0.18141696, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.70321536, shape=(), dtype=float32)","tf.Tensor(0.26426798, shape=(), dtype=float32)","tf.Tensor(0.17312701, shape=(), dtype=float32)","tf.Tensor(0.31146482, shape=(), dtype=float32)","tf.Tensor(0.22315517, shape=(), dtype=float32)","tf.Tensor(0.17855957, shape=(), dtype=float32)","tf.Tensor(0.118123524, shape=(), dtype=float32)","tf.Tensor(0.00625, shape=(), dtype=float32)","tf.Tensor(0.36878216, shape=(), dtype=float32)","tf.Tensor(0.04910714, shape=(), dtype=float32)","tf.Tensor(0.14197823, shape=(), dtype=float32)","tf.Tensor(0.26156002, shape=(), dtype=float32)","tf.Tensor(0.13773634, shape=(), dtype=float32)","tf.Tensor(0.18802781, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.7032357, shape=(), dtype=float32)","tf.Tensor(0.27176896, shape=(), dtype=float32)","tf.Tensor(0.17887233, shape=(), dtype=float32)","tf.Tensor(0.3153592, shape=(), dtype=float32)","tf.Tensor(0.23024291, shape=(), dtype=float32)","tf.Tensor(0.18487395, shape=(), dtype=float32)","tf.Tensor(0.119925514, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.37558985, shape=(), dtype=float32)","tf.Tensor(0.038356163, shape=(), dtype=float32)","tf.Tensor(0.147588, shape=(), dtype=float32)","tf.Tensor(0.26541686, shape=(), dtype=float32)","tf.Tensor(0.14131987, shape=(), dtype=float32)","tf.Tensor(0.19411297, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.703256, shape=(), dtype=float32)","tf.Tensor(0.2777694, shape=(), dtype=float32)","tf.Tensor(0.18085831, shape=(), dtype=float32)","tf.Tensor(0.31808004, shape=(), dtype=float32)","tf.Tensor(0.23482944, shape=(), dtype=float32)","tf.Tensor(0.189623, shape=(), dtype=float32)","tf.Tensor(0.12300123, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3816092, shape=(), dtype=float32)","tf.Tensor(0.018348623, shape=(), dtype=float32)","tf.Tensor(0.14952736, shape=(), dtype=float32)","tf.Tensor(0.2727746, shape=(), dtype=float32)","tf.Tensor(0.14220232, shape=(), dtype=float32)","tf.Tensor(0.19728936, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.7032967, shape=(), dtype=float32)","tf.Tensor(0.28399557, shape=(), dtype=float32)","tf.Tensor(0.18145671, shape=(), dtype=float32)","tf.Tensor(0.32178518, shape=(), dtype=float32)","tf.Tensor(0.24120983, shape=(), dtype=float32)","tf.Tensor(0.19144763, shape=(), dtype=float32)","tf.Tensor(0.12785389, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3877311, shape=(), dtype=float32)","tf.Tensor(0.0066006603, shape=(), dtype=float32)","tf.Tensor(0.15175466, shape=(), dtype=float32)","tf.Tensor(0.2790445, shape=(), dtype=float32)","tf.Tensor(0.14325134, shape=(), dtype=float32)","tf.Tensor(0.20111404, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.7033577, shape=(), dtype=float32)","tf.Tensor(0.28959352, shape=(), dtype=float32)","tf.Tensor(0.18289877, shape=(), dtype=float32)","tf.Tensor(0.32610056, shape=(), dtype=float32)","tf.Tensor(0.24286847, shape=(), dtype=float32)","tf.Tensor(0.19346838, shape=(), dtype=float32)","tf.Tensor(0.12046963, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39290023, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15566365, shape=(), dtype=float32)","tf.Tensor(0.2777778, shape=(), dtype=float32)","tf.Tensor(0.1419812, shape=(), dtype=float32)","tf.Tensor(0.20505704, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.7033641, shape=(), dtype=float32)","tf.Tensor(0.29509896, shape=(), dtype=float32)","tf.Tensor(0.18426417, shape=(), dtype=float32)","tf.Tensor(0.32926437, shape=(), dtype=float32)","tf.Tensor(0.24751244, shape=(), dtype=float32)","tf.Tensor(0.19380184, shape=(), dtype=float32)","tf.Tensor(0.12114286, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39904568, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15863378, shape=(), dtype=float32)","tf.Tensor(0.2789598, shape=(), dtype=float32)","tf.Tensor(0.13951325, shape=(), dtype=float32)","tf.Tensor(0.2098265, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.703408, shape=(), dtype=float32)","tf.Tensor(0.29958567, shape=(), dtype=float32)","tf.Tensor(0.18543047, shape=(), dtype=float32)","tf.Tensor(0.33234847, shape=(), dtype=float32)","tf.Tensor(0.24752048, shape=(), dtype=float32)","tf.Tensor(0.19879797, shape=(), dtype=float32)","tf.Tensor(0.11558442, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40492576, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1661891, shape=(), dtype=float32)","tf.Tensor(0.28169015, shape=(), dtype=float32)","tf.Tensor(0.13627398, shape=(), dtype=float32)","tf.Tensor(0.21095473, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
20,"tf.Tensor(0.70355046, shape=(), dtype=float32)","tf.Tensor(0.3032579, shape=(), dtype=float32)","tf.Tensor(0.18695137, shape=(), dtype=float32)","tf.Tensor(0.33550745, shape=(), dtype=float32)","tf.Tensor(0.251578, shape=(), dtype=float32)","tf.Tensor(0.20175439, shape=(), dtype=float32)","tf.Tensor(0.10942249, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.41112655, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16501352, shape=(), dtype=float32)","tf.Tensor(0.28699553, shape=(), dtype=float32)","tf.Tensor(0.13788742, shape=(), dtype=float32)","tf.Tensor(0.21284926, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
21,"tf.Tensor(0.7036147, shape=(), dtype=float32)","tf.Tensor(0.30808428, shape=(), dtype=float32)","tf.Tensor(0.19052523, shape=(), dtype=float32)","tf.Tensor(0.33835435, shape=(), dtype=float32)","tf.Tensor(0.2525229, shape=(), dtype=float32)","tf.Tensor(0.1983556, shape=(), dtype=float32)","tf.Tensor(0.10611511, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.41599393, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16067028, shape=(), dtype=float32)","tf.Tensor(0.29083666, shape=(), dtype=float32)","tf.Tensor(0.13595167, shape=(), dtype=float32)","tf.Tensor(0.21774043, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
22,"tf.Tensor(0.7037026, shape=(), dtype=float32)","tf.Tensor(0.31162223, shape=(), dtype=float32)","tf.Tensor(0.19087368, shape=(), dtype=float32)","tf.Tensor(0.3406722, shape=(), dtype=float32)","tf.Tensor(0.25567213, shape=(), dtype=float32)","tf.Tensor(0.20043573, shape=(), dtype=float32)","tf.Tensor(0.08993576, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.42205954, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1529219, shape=(), dtype=float32)","tf.Tensor(0.29863015, shape=(), dtype=float32)","tf.Tensor(0.1275809, shape=(), dtype=float32)","tf.Tensor(0.21642815, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
23,"tf.Tensor(0.7038281, shape=(), dtype=float32)","tf.Tensor(0.31513095, shape=(), dtype=float32)","tf.Tensor(0.19445291, shape=(), dtype=float32)","tf.Tensor(0.343819, shape=(), dtype=float32)","tf.Tensor(0.25831008, shape=(), dtype=float32)","tf.Tensor(0.20745921, shape=(), dtype=float32)","tf.Tensor(0.06683805, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.42652795, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.13983323, shape=(), dtype=float32)","tf.Tensor(0.29739252, shape=(), dtype=float32)","tf.Tensor(0.10665658, shape=(), dtype=float32)","tf.Tensor(0.21970321, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
24,"tf.Tensor(0.70416087, shape=(), dtype=float32)","tf.Tensor(0.31783712, shape=(), dtype=float32)","tf.Tensor(0.18224299, shape=(), dtype=float32)","tf.Tensor(0.34577087, shape=(), dtype=float32)","tf.Tensor(0.2572636, shape=(), dtype=float32)","tf.Tensor(0.20780857, shape=(), dtype=float32)","tf.Tensor(0.05120482, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.43044728, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.124105014, shape=(), dtype=float32)","tf.Tensor(0.29661626, shape=(), dtype=float32)","tf.Tensor(0.09317647, shape=(), dtype=float32)","tf.Tensor(0.22333044, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
25,"tf.Tensor(0.7044736, shape=(), dtype=float32)","tf.Tensor(0.31993607, shape=(), dtype=float32)","tf.Tensor(0.17683147, shape=(), dtype=float32)","tf.Tensor(0.3489909, shape=(), dtype=float32)","tf.Tensor(0.25642428, shape=(), dtype=float32)","tf.Tensor(0.1997264, shape=(), dtype=float32)","tf.Tensor(0.03076923, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.4351852, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.10805861, shape=(), dtype=float32)","tf.Tensor(0.2983752, shape=(), dtype=float32)","tf.Tensor(0.056947608, shape=(), dtype=float32)","tf.Tensor(0.21973504, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
26,"tf.Tensor(0.7048481, shape=(), dtype=float32)","tf.Tensor(0.32306784, shape=(), dtype=float32)","tf.Tensor(0.17628458, shape=(), dtype=float32)","tf.Tensor(0.35272974, shape=(), dtype=float32)","tf.Tensor(0.25672996, shape=(), dtype=float32)","tf.Tensor(0.1989683, shape=(), dtype=float32)","tf.Tensor(0.014981274, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.4394918, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.09645669, shape=(), dtype=float32)","tf.Tensor(0.3043149, shape=(), dtype=float32)","tf.Tensor(0.03309067, shape=(), dtype=float32)","tf.Tensor(0.21993291, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
27,"tf.Tensor(0.70530164, shape=(), dtype=float32)","tf.Tensor(0.32571152, shape=(), dtype=float32)","tf.Tensor(0.17395067, shape=(), dtype=float32)","tf.Tensor(0.35571292, shape=(), dtype=float32)","tf.Tensor(0.2574374, shape=(), dtype=float32)","tf.Tensor(0.20063694, shape=(), dtype=float32)","tf.Tensor(0.003921569, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.44331938, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.09005236, shape=(), dtype=float32)","tf.Tensor(0.3078113, shape=(), dtype=float32)","tf.Tensor(0.020393299, shape=(), dtype=float32)","tf.Tensor(0.21706209, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
