,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.32421243, shape=(), dtype=float32)","tf.Tensor(0.3516717, shape=(), dtype=float32)","tf.Tensor(0.20722961, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.25553036, shape=(), dtype=float32)","tf.Tensor(0.1974734, shape=(), dtype=float32)","tf.Tensor(0.16926017, shape=(), dtype=float32)","tf.Tensor(0.087503746, shape=(), dtype=float32)","tf.Tensor(0.42662606, shape=(), dtype=float32)","tf.Tensor(0.03797468, shape=(), dtype=float32)","tf.Tensor(0.15121256, shape=(), dtype=float32)","tf.Tensor(0.2634115, shape=(), dtype=float32)","tf.Tensor(0.20727211, shape=(), dtype=float32)","tf.Tensor(0.22149149, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.33415374, shape=(), dtype=float32)","tf.Tensor(0.35674953, shape=(), dtype=float32)","tf.Tensor(0.21237303, shape=(), dtype=float32)","tf.Tensor(0.487829, shape=(), dtype=float32)","tf.Tensor(0.2648805, shape=(), dtype=float32)","tf.Tensor(0.20620763, shape=(), dtype=float32)","tf.Tensor(0.17213361, shape=(), dtype=float32)","tf.Tensor(0.08961445, shape=(), dtype=float32)","tf.Tensor(0.43651554, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15680112, shape=(), dtype=float32)","tf.Tensor(0.27356243, shape=(), dtype=float32)","tf.Tensor(0.20959117, shape=(), dtype=float32)","tf.Tensor(0.22661692, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.34516352, shape=(), dtype=float32)","tf.Tensor(0.35961932, shape=(), dtype=float32)","tf.Tensor(0.2160927, shape=(), dtype=float32)","tf.Tensor(0.48788926, shape=(), dtype=float32)","tf.Tensor(0.27178153, shape=(), dtype=float32)","tf.Tensor(0.2118451, shape=(), dtype=float32)","tf.Tensor(0.17875989, shape=(), dtype=float32)","tf.Tensor(0.09259992, shape=(), dtype=float32)","tf.Tensor(0.44460368, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.16302878, shape=(), dtype=float32)","tf.Tensor(0.28151864, shape=(), dtype=float32)","tf.Tensor(0.2112, shape=(), dtype=float32)","tf.Tensor(0.23260121, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.35384455, shape=(), dtype=float32)","tf.Tensor(0.36376247, shape=(), dtype=float32)","tf.Tensor(0.21893287, shape=(), dtype=float32)","tf.Tensor(0.48788926, shape=(), dtype=float32)","tf.Tensor(0.27989647, shape=(), dtype=float32)","tf.Tensor(0.2140845, shape=(), dtype=float32)","tf.Tensor(0.1833394, shape=(), dtype=float32)","tf.Tensor(0.09199632, shape=(), dtype=float32)","tf.Tensor(0.4539753, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17265877, shape=(), dtype=float32)","tf.Tensor(0.28475335, shape=(), dtype=float32)","tf.Tensor(0.21345623, shape=(), dtype=float32)","tf.Tensor(0.23945236, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.360489, shape=(), dtype=float32)","tf.Tensor(0.36873287, shape=(), dtype=float32)","tf.Tensor(0.22161373, shape=(), dtype=float32)","tf.Tensor(0.4877024, shape=(), dtype=float32)","tf.Tensor(0.28581804, shape=(), dtype=float32)","tf.Tensor(0.21768707, shape=(), dtype=float32)","tf.Tensor(0.18964836, shape=(), dtype=float32)","tf.Tensor(0.093517534, shape=(), dtype=float32)","tf.Tensor(0.46310773, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17553957, shape=(), dtype=float32)","tf.Tensor(0.2877193, shape=(), dtype=float32)","tf.Tensor(0.2149515, shape=(), dtype=float32)","tf.Tensor(0.24286135, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.3673925, shape=(), dtype=float32)","tf.Tensor(0.37289357, shape=(), dtype=float32)","tf.Tensor(0.2265625, shape=(), dtype=float32)","tf.Tensor(0.48776266, shape=(), dtype=float32)","tf.Tensor(0.2949379, shape=(), dtype=float32)","tf.Tensor(0.22032374, shape=(), dtype=float32)","tf.Tensor(0.19112629, shape=(), dtype=float32)","tf.Tensor(0.090964966, shape=(), dtype=float32)","tf.Tensor(0.47023168, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17909664, shape=(), dtype=float32)","tf.Tensor(0.29323614, shape=(), dtype=float32)","tf.Tensor(0.21875925, shape=(), dtype=float32)","tf.Tensor(0.2480572, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.37349954, shape=(), dtype=float32)","tf.Tensor(0.37651822, shape=(), dtype=float32)","tf.Tensor(0.22845188, shape=(), dtype=float32)","tf.Tensor(0.48779282, shape=(), dtype=float32)","tf.Tensor(0.2972704, shape=(), dtype=float32)","tf.Tensor(0.22761905, shape=(), dtype=float32)","tf.Tensor(0.19250347, shape=(), dtype=float32)","tf.Tensor(0.082459815, shape=(), dtype=float32)","tf.Tensor(0.47859648, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.17750795, shape=(), dtype=float32)","tf.Tensor(0.30142736, shape=(), dtype=float32)","tf.Tensor(0.22035635, shape=(), dtype=float32)","tf.Tensor(0.24803922, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.37728676, shape=(), dtype=float32)","tf.Tensor(0.38039804, shape=(), dtype=float32)","tf.Tensor(0.23078626, shape=(), dtype=float32)","tf.Tensor(0.4878803, shape=(), dtype=float32)","tf.Tensor(0.30243698, shape=(), dtype=float32)","tf.Tensor(0.22968906, shape=(), dtype=float32)","tf.Tensor(0.18995525, shape=(), dtype=float32)","tf.Tensor(0.080515295, shape=(), dtype=float32)","tf.Tensor(0.48538494, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18256736, shape=(), dtype=float32)","tf.Tensor(0.30950305, shape=(), dtype=float32)","tf.Tensor(0.22462845, shape=(), dtype=float32)","tf.Tensor(0.25382632, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.38102207, shape=(), dtype=float32)","tf.Tensor(0.38376877, shape=(), dtype=float32)","tf.Tensor(0.23187046, shape=(), dtype=float32)","tf.Tensor(0.48784712, shape=(), dtype=float32)","tf.Tensor(0.30949792, shape=(), dtype=float32)","tf.Tensor(0.23430079, shape=(), dtype=float32)","tf.Tensor(0.18532404, shape=(), dtype=float32)","tf.Tensor(0.07400555, shape=(), dtype=float32)","tf.Tensor(0.492882, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18802229, shape=(), dtype=float32)","tf.Tensor(0.3134058, shape=(), dtype=float32)","tf.Tensor(0.22778334, shape=(), dtype=float32)","tf.Tensor(0.25671533, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.38424015, shape=(), dtype=float32)","tf.Tensor(0.3869773, shape=(), dtype=float32)","tf.Tensor(0.23076923, shape=(), dtype=float32)","tf.Tensor(0.4880886, shape=(), dtype=float32)","tf.Tensor(0.3117235, shape=(), dtype=float32)","tf.Tensor(0.23588596, shape=(), dtype=float32)","tf.Tensor(0.1799427, shape=(), dtype=float32)","tf.Tensor(0.07053942, shape=(), dtype=float32)","tf.Tensor(0.49865085, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18747628, shape=(), dtype=float32)","tf.Tensor(0.31913897, shape=(), dtype=float32)","tf.Tensor(0.23137802, shape=(), dtype=float32)","tf.Tensor(0.25917518, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
