,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.2967178, shape=(), dtype=float32)","tf.Tensor(0.35521296, shape=(), dtype=float32)","tf.Tensor(0.20805018, shape=(), dtype=float32)","tf.Tensor(0.4833013, shape=(), dtype=float32)","tf.Tensor(0.240189, shape=(), dtype=float32)","tf.Tensor(0.19266838, shape=(), dtype=float32)","tf.Tensor(0.14068285, shape=(), dtype=float32)","tf.Tensor(0.08791209, shape=(), dtype=float32)","tf.Tensor(0.40588605, shape=(), dtype=float32)","tf.Tensor(0.07810651, shape=(), dtype=float32)","tf.Tensor(0.14929317, shape=(), dtype=float32)","tf.Tensor(0.21546635, shape=(), dtype=float32)","tf.Tensor(0.196724, shape=(), dtype=float32)","tf.Tensor(0.20007853, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.30463576, shape=(), dtype=float32)","tf.Tensor(0.36008918, shape=(), dtype=float32)","tf.Tensor(0.21365395, shape=(), dtype=float32)","tf.Tensor(0.4833013, shape=(), dtype=float32)","tf.Tensor(0.2491932, shape=(), dtype=float32)","tf.Tensor(0.19897188, shape=(), dtype=float32)","tf.Tensor(0.14454606, shape=(), dtype=float32)","tf.Tensor(0.09049532, shape=(), dtype=float32)","tf.Tensor(0.411557, shape=(), dtype=float32)","tf.Tensor(0.08102026, shape=(), dtype=float32)","tf.Tensor(0.15680684, shape=(), dtype=float32)","tf.Tensor(0.22320303, shape=(), dtype=float32)","tf.Tensor(0.19896251, shape=(), dtype=float32)","tf.Tensor(0.20515464, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.31497917, shape=(), dtype=float32)","tf.Tensor(0.36513105, shape=(), dtype=float32)","tf.Tensor(0.21623956, shape=(), dtype=float32)","tf.Tensor(0.48339117, shape=(), dtype=float32)","tf.Tensor(0.25755545, shape=(), dtype=float32)","tf.Tensor(0.20127389, shape=(), dtype=float32)","tf.Tensor(0.14748979, shape=(), dtype=float32)","tf.Tensor(0.09341169, shape=(), dtype=float32)","tf.Tensor(0.4177298, shape=(), dtype=float32)","tf.Tensor(0.0854527, shape=(), dtype=float32)","tf.Tensor(0.1625866, shape=(), dtype=float32)","tf.Tensor(0.23473862, shape=(), dtype=float32)","tf.Tensor(0.20011993, shape=(), dtype=float32)","tf.Tensor(0.20892935, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.32415375, shape=(), dtype=float32)","tf.Tensor(0.36917683, shape=(), dtype=float32)","tf.Tensor(0.21787542, shape=(), dtype=float32)","tf.Tensor(0.48332712, shape=(), dtype=float32)","tf.Tensor(0.26668772, shape=(), dtype=float32)","tf.Tensor(0.20421828, shape=(), dtype=float32)","tf.Tensor(0.14893068, shape=(), dtype=float32)","tf.Tensor(0.087706685, shape=(), dtype=float32)","tf.Tensor(0.42257044, shape=(), dtype=float32)","tf.Tensor(0.072222225, shape=(), dtype=float32)","tf.Tensor(0.16777408, shape=(), dtype=float32)","tf.Tensor(0.24710983, shape=(), dtype=float32)","tf.Tensor(0.20319816, shape=(), dtype=float32)","tf.Tensor(0.21457075, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.33760986, shape=(), dtype=float32)","tf.Tensor(0.3738238, shape=(), dtype=float32)","tf.Tensor(0.21909674, shape=(), dtype=float32)","tf.Tensor(0.4833571, shape=(), dtype=float32)","tf.Tensor(0.27067173, shape=(), dtype=float32)","tf.Tensor(0.20842105, shape=(), dtype=float32)","tf.Tensor(0.15167451, shape=(), dtype=float32)","tf.Tensor(0.09341118, shape=(), dtype=float32)","tf.Tensor(0.42789358, shape=(), dtype=float32)","tf.Tensor(0.028747434, shape=(), dtype=float32)","tf.Tensor(0.17125599, shape=(), dtype=float32)","tf.Tensor(0.25362873, shape=(), dtype=float32)","tf.Tensor(0.2048105, shape=(), dtype=float32)","tf.Tensor(0.21926671, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.3475564, shape=(), dtype=float32)","tf.Tensor(0.37847343, shape=(), dtype=float32)","tf.Tensor(0.22164698, shape=(), dtype=float32)","tf.Tensor(0.48341292, shape=(), dtype=float32)","tf.Tensor(0.2782518, shape=(), dtype=float32)","tf.Tensor(0.21779254, shape=(), dtype=float32)","tf.Tensor(0.1523866, shape=(), dtype=float32)","tf.Tensor(0.09322865, shape=(), dtype=float32)","tf.Tensor(0.4327354, shape=(), dtype=float32)","tf.Tensor(0.021220159, shape=(), dtype=float32)","tf.Tensor(0.1753852, shape=(), dtype=float32)","tf.Tensor(0.26114905, shape=(), dtype=float32)","tf.Tensor(0.2063328, shape=(), dtype=float32)","tf.Tensor(0.2225579, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.3576667, shape=(), dtype=float32)","tf.Tensor(0.3831632, shape=(), dtype=float32)","tf.Tensor(0.22315016, shape=(), dtype=float32)","tf.Tensor(0.48359284, shape=(), dtype=float32)","tf.Tensor(0.283173, shape=(), dtype=float32)","tf.Tensor(0.22299382, shape=(), dtype=float32)","tf.Tensor(0.15190671, shape=(), dtype=float32)","tf.Tensor(0.09463359, shape=(), dtype=float32)","tf.Tensor(0.43967262, shape=(), dtype=float32)","tf.Tensor(0.006024096, shape=(), dtype=float32)","tf.Tensor(0.18207681, shape=(), dtype=float32)","tf.Tensor(0.26525423, shape=(), dtype=float32)","tf.Tensor(0.2094251, shape=(), dtype=float32)","tf.Tensor(0.22846541, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.36679673, shape=(), dtype=float32)","tf.Tensor(0.38741904, shape=(), dtype=float32)","tf.Tensor(0.22800966, shape=(), dtype=float32)","tf.Tensor(0.4838249, shape=(), dtype=float32)","tf.Tensor(0.28592956, shape=(), dtype=float32)","tf.Tensor(0.2298944, shape=(), dtype=float32)","tf.Tensor(0.15348525, shape=(), dtype=float32)","tf.Tensor(0.098269895, shape=(), dtype=float32)","tf.Tensor(0.44362986, shape=(), dtype=float32)","tf.Tensor(0.006430868, shape=(), dtype=float32)","tf.Tensor(0.18228942, shape=(), dtype=float32)","tf.Tensor(0.2699603, shape=(), dtype=float32)","tf.Tensor(0.21074085, shape=(), dtype=float32)","tf.Tensor(0.2331527, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.37145674, shape=(), dtype=float32)","tf.Tensor(0.39072156, shape=(), dtype=float32)","tf.Tensor(0.23035905, shape=(), dtype=float32)","tf.Tensor(0.48399726, shape=(), dtype=float32)","tf.Tensor(0.288749, shape=(), dtype=float32)","tf.Tensor(0.23679727, shape=(), dtype=float32)","tf.Tensor(0.15390147, shape=(), dtype=float32)","tf.Tensor(0.096040435, shape=(), dtype=float32)","tf.Tensor(0.448016, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18587361, shape=(), dtype=float32)","tf.Tensor(0.27767527, shape=(), dtype=float32)","tf.Tensor(0.2130694, shape=(), dtype=float32)","tf.Tensor(0.23659997, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.3773345, shape=(), dtype=float32)","tf.Tensor(0.3924063, shape=(), dtype=float32)","tf.Tensor(0.2312075, shape=(), dtype=float32)","tf.Tensor(0.48429042, shape=(), dtype=float32)","tf.Tensor(0.292474, shape=(), dtype=float32)","tf.Tensor(0.24215247, shape=(), dtype=float32)","tf.Tensor(0.15678777, shape=(), dtype=float32)","tf.Tensor(0.093495935, shape=(), dtype=float32)","tf.Tensor(0.45341215, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.18739098, shape=(), dtype=float32)","tf.Tensor(0.28392684, shape=(), dtype=float32)","tf.Tensor(0.21420519, shape=(), dtype=float32)","tf.Tensor(0.24047728, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
