model, fold_1, fold_2, fold_3, fold_4, fold_5, average
DenseNet121_None, 0.24538062512874603, 0.2464958280324936, 0.24230287969112396, 0.24926969408988953, 0.27010810375213623,0.2507114112377167
DenseNet121_imagenet, 0.23900732398033142, 0.24249492585659027, 0.24817658960819244, 0.24731428921222687, 0.2540903389453888, 0.24621668457984924
EfficientNetB0_None, 0.24855409562587738, 0.25773802399635315, 0.26683875918388367, 0.2701347768306732, 0.2746805250644684, 0.2635892331600189
EfficientNetB0_imagenet, 0.20957711338996887, 0.21095892786979675, 0.2136314958333969, 0.2128966599702835, 0.22186703979969025, 0.21378624439239502
Resnet50_None, 0.22268527746200562, 0.22564974427223206, 0.23484879732131958, 0.23671677708625793, 0.2440558820962906, 0.23279127478599548
Resnet50_imagenet, 0.24034175276756287, 0.23771868646144867, 0.23844484984874725, 0.2475757896900177, 0.2518383264541626, 0.24318388104438782
