epoch,auc_2,f1_score,loss,precision_2,recall_2,val_auc_2,val_f1_score,val_loss,val_precision_2,val_recall_2
0,0.5012862086296082,"""[0.029179692, 0.054572783, 0.0044472683, 0.46823454, 0.007394767, 0.0025157232, 0.0035149385, 0.0034217278, 0.10895676, 0.00603015, 0.0026773761, 0.0010840109, 0.00832925, 0.006233766, 0.0]""",0.3077884316444397,0.15932421386241913,0.012802447192370892,0.4986717998981476,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2851104736328125,0.0,0.0
1,0.4991840720176697,"""[0.0, 0.0, 0.0, 0.48835772, 0.0, 0.0, 0.0, 0.0, 0.0011523393, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2880583703517914,0.0,0.0,0.49942582845687866,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28477969765663147,0.0,0.0
2,0.4973899722099304,"""[0.0029498527, 0.0013363624, 0.0, 0.48788872, 0.0, 0.0, 0.0, 0.0, 0.0043663103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28801193833351135,0.24137930572032928,0.00012029145000269637,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846725881099701,0.0,0.0
3,0.49849626421928406,"""[0.0, 0.00026820437, 0.0, 0.48842227, 0.0, 0.0, 0.0, 0.0, 0.00046285582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2869788706302643,0.25,1.718449311738368e-05,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.284674733877182,0.0,0.0
4,0.49817466735839844,"""[0.0003301965, 0.0, 0.0, 0.48835555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28672856092453003,0.1428571492433548,1.718449311738368e-05,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28464433550834656,0.0,0.0
5,0.4983711540699005,"""[0.0, 0.0, 0.0, 0.48841465, 0.0, 0.0, 0.0, 0.0, 0.00069452485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2865533232688904,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846852242946625,0.0,0.0
6,0.4998328983783722,"""[0.0, 0.0, 0.0, 0.48831877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28628548979759216,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845568358898163,0.0,0.0
7,0.5013779401779175,"""[0.0, 0.0, 0.0, 0.48839584, 0.0, 0.0, 0.0, 0.0, 0.00023158871, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.286263108253479,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28456464409828186,0.0,0.0
8,0.49900534749031067,"""[0.0, 0.0, 0.0, 0.48838645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2861754596233368,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28457215428352356,0.0,0.0
9,0.4982803463935852,"""[0.0, 0.0, 0.0, 0.48834792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2862425744533539,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28455668687820435,0.0,0.0
10,0.49779367446899414,"""[0.0, 0.0, 0.0, 0.488377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28618288040161133,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4992734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28453460335731506,0.0,0.0
