epoch,auc_4,loss,val_auc_4,val_loss
0,0.618341326713562,0.21217919886112213,0.6605299711227417,0.20605000853538513
1,0.6626508235931396,0.20410571992397308,0.6649560928344727,0.20538756251335144
2,0.6922957301139832,0.19985175132751465,0.7007995843887329,0.19992484152317047
3,0.7126739025115967,0.1968909204006195,0.7170881032943726,0.1965920329093933
4,0.7286373972892761,0.1942475587129593,0.7102205753326416,0.20084348320960999
5,0.7424882054328918,0.19174724817276,0.7227352261543274,0.19581158459186554
6,0.7536140084266663,0.18935786187648773,0.7203105688095093,0.20250383019447327
7,0.7665107846260071,0.18673183023929596,0.7142850756645203,0.22492215037345886
8,0.7768939137458801,0.18381933867931366,0.7187339067459106,0.20188598334789276
9,0.802579939365387,0.1773592233657837,0.7222705483436584,0.2040676772594452
10,0.8204836249351501,0.17232245206832886,0.7215635180473328,0.20533429086208344
11,0.834252655506134,0.1668393313884735,0.715325653553009,0.2620747983455658
12,0.8522126078605652,0.15982696413993835,0.7055652737617493,0.4697015583515167
13,0.8653658032417297,0.15364180505275726,0.7003883123397827,0.4846353530883789
14,0.8748283982276917,0.14823417365550995,0.6993414759635925,0.5364564061164856
15,0.8843070864677429,0.14265966415405273,0.6929578185081482,0.9128774404525757
16,0.8931397199630737,0.1375875025987625,0.6892169117927551,1.1185336112976074
17,0.9013156890869141,0.13211673498153687,0.6871263980865479,0.9038552045822144
18,0.8978408575057983,0.1336209625005722,0.6884592771530151,1.8466206789016724
19,0.9064477682113647,0.12803664803504944,0.682192862033844,2.221963882446289
20,0.9106334447860718,0.12481856346130371,0.6806821227073669,1.7123804092407227
21,0.9063071608543396,0.12682466208934784,0.6822713017463684,1.4688067436218262
22,0.9104536175727844,0.12485329061746597,0.6783298850059509,2.497377872467041
23,0.9151301980018616,0.12098921090364456,0.6801224946975708,2.963892698287964
24,0.9133727550506592,0.12171071767807007,0.674411416053772,3.9118542671203613
25,0.9162651300430298,0.1199924424290657,0.6726111173629761,4.380832195281982
