,No Finding
0,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
1,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
2,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
3,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
4,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
5,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
6,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
7,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
8,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
9,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
10,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
11,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
12,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
13,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
14,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
15,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
16,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
17,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
18,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
19,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
20,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
21,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
22,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
23,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
24,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
25,"tf.Tensor(0.70321536, shape=(), dtype=float32)"
26,"tf.Tensor(0.70331705, shape=(), dtype=float32)"
27,"tf.Tensor(0.7032891, shape=(), dtype=float32)"
28,"tf.Tensor(0.70325476, shape=(), dtype=float32)"
29,"tf.Tensor(0.7033317, shape=(), dtype=float32)"
30,"tf.Tensor(0.70352775, shape=(), dtype=float32)"
31,"tf.Tensor(0.703796, shape=(), dtype=float32)"
32,"tf.Tensor(0.7041044, shape=(), dtype=float32)"
33,"tf.Tensor(0.7045362, shape=(), dtype=float32)"
34,"tf.Tensor(0.70460296, shape=(), dtype=float32)"
35,"tf.Tensor(0.7050569, shape=(), dtype=float32)"
36,"tf.Tensor(0.705522, shape=(), dtype=float32)"
37,"tf.Tensor(0.706639, shape=(), dtype=float32)"
38,"tf.Tensor(0.70740926, shape=(), dtype=float32)"
39,"tf.Tensor(0.70795006, shape=(), dtype=float32)"
40,"tf.Tensor(0.708966, shape=(), dtype=float32)"
41,"tf.Tensor(0.70985496, shape=(), dtype=float32)"
42,"tf.Tensor(0.71018153, shape=(), dtype=float32)"
43,"tf.Tensor(0.71169454, shape=(), dtype=float32)"
44,"tf.Tensor(0.71294963, shape=(), dtype=float32)"
45,"tf.Tensor(0.71387285, shape=(), dtype=float32)"
46,"tf.Tensor(0.7158647, shape=(), dtype=float32)"
47,"tf.Tensor(0.71694666, shape=(), dtype=float32)"
48,"tf.Tensor(0.71868974, shape=(), dtype=float32)"
49,"tf.Tensor(0.7200394, shape=(), dtype=float32)"
50,"tf.Tensor(0.7208235, shape=(), dtype=float32)"
51,"tf.Tensor(0.7219101, shape=(), dtype=float32)"
52,"tf.Tensor(0.723145, shape=(), dtype=float32)"
53,"tf.Tensor(0.7240311, shape=(), dtype=float32)"
54,"tf.Tensor(0.7252705, shape=(), dtype=float32)"
55,"tf.Tensor(0.726579, shape=(), dtype=float32)"
56,"tf.Tensor(0.727126, shape=(), dtype=float32)"
57,"tf.Tensor(0.7279283, shape=(), dtype=float32)"
58,"tf.Tensor(0.72897744, shape=(), dtype=float32)"
59,"tf.Tensor(0.7307667, shape=(), dtype=float32)"
60,"tf.Tensor(0.73090935, shape=(), dtype=float32)"
61,"tf.Tensor(0.73224044, shape=(), dtype=float32)"
62,"tf.Tensor(0.732913, shape=(), dtype=float32)"
63,"tf.Tensor(0.73298466, shape=(), dtype=float32)"
64,"tf.Tensor(0.7336438, shape=(), dtype=float32)"
65,"tf.Tensor(0.7342863, shape=(), dtype=float32)"
66,"tf.Tensor(0.73442984, shape=(), dtype=float32)"
67,"tf.Tensor(0.7353583, shape=(), dtype=float32)"
68,"tf.Tensor(0.7365708, shape=(), dtype=float32)"
69,"tf.Tensor(0.7368532, shape=(), dtype=float32)"
70,"tf.Tensor(0.73747355, shape=(), dtype=float32)"
71,"tf.Tensor(0.7379599, shape=(), dtype=float32)"
72,"tf.Tensor(0.7386067, shape=(), dtype=float32)"
73,"tf.Tensor(0.7388723, shape=(), dtype=float32)"
74,"tf.Tensor(0.7393159, shape=(), dtype=float32)"
75,"tf.Tensor(0.73878264, shape=(), dtype=float32)"
76,"tf.Tensor(0.73895085, shape=(), dtype=float32)"
77,"tf.Tensor(0.7372255, shape=(), dtype=float32)"
78,"tf.Tensor(0.73671365, shape=(), dtype=float32)"
79,"tf.Tensor(0.73586595, shape=(), dtype=float32)"
80,"tf.Tensor(0.73590416, shape=(), dtype=float32)"
81,"tf.Tensor(0.73492754, shape=(), dtype=float32)"
82,"tf.Tensor(0.7343076, shape=(), dtype=float32)"
83,"tf.Tensor(0.7332242, shape=(), dtype=float32)"
84,"tf.Tensor(0.7319741, shape=(), dtype=float32)"
85,"tf.Tensor(0.7308388, shape=(), dtype=float32)"
86,"tf.Tensor(0.72985196, shape=(), dtype=float32)"
87,"tf.Tensor(0.7295324, shape=(), dtype=float32)"
88,"tf.Tensor(0.72874147, shape=(), dtype=float32)"
89,"tf.Tensor(0.72745806, shape=(), dtype=float32)"
90,"tf.Tensor(0.72683597, shape=(), dtype=float32)"
91,"tf.Tensor(0.7248843, shape=(), dtype=float32)"
92,"tf.Tensor(0.72383755, shape=(), dtype=float32)"
93,"tf.Tensor(0.72273743, shape=(), dtype=float32)"
94,"tf.Tensor(0.72161806, shape=(), dtype=float32)"
95,"tf.Tensor(0.72040975, shape=(), dtype=float32)"
96,"tf.Tensor(0.7184332, shape=(), dtype=float32)"
97,"tf.Tensor(0.7167013, shape=(), dtype=float32)"
98,"tf.Tensor(0.7142447, shape=(), dtype=float32)"
99,"tf.Tensor(0.7116408, shape=(), dtype=float32)"
100,"tf.Tensor(0.7094421, shape=(), dtype=float32)"
101,"tf.Tensor(0.70793587, shape=(), dtype=float32)"
102,"tf.Tensor(0.70625657, shape=(), dtype=float32)"
103,"tf.Tensor(0.70517176, shape=(), dtype=float32)"
104,"tf.Tensor(0.70501304, shape=(), dtype=float32)"
105,"tf.Tensor(0.7037834, shape=(), dtype=float32)"
106,"tf.Tensor(0.7023915, shape=(), dtype=float32)"
107,"tf.Tensor(0.70132405, shape=(), dtype=float32)"
108,"tf.Tensor(0.70034474, shape=(), dtype=float32)"
109,"tf.Tensor(0.69823754, shape=(), dtype=float32)"
110,"tf.Tensor(0.6950684, shape=(), dtype=float32)"
111,"tf.Tensor(0.6918919, shape=(), dtype=float32)"
112,"tf.Tensor(0.6886928, shape=(), dtype=float32)"
113,"tf.Tensor(0.6858566, shape=(), dtype=float32)"
114,"tf.Tensor(0.682026, shape=(), dtype=float32)"
115,"tf.Tensor(0.67913353, shape=(), dtype=float32)"
116,"tf.Tensor(0.67618793, shape=(), dtype=float32)"
117,"tf.Tensor(0.6732275, shape=(), dtype=float32)"
118,"tf.Tensor(0.6696344, shape=(), dtype=float32)"
119,"tf.Tensor(0.6673594, shape=(), dtype=float32)"
120,"tf.Tensor(0.6641513, shape=(), dtype=float32)"
121,"tf.Tensor(0.66127336, shape=(), dtype=float32)"
122,"tf.Tensor(0.6580835, shape=(), dtype=float32)"
123,"tf.Tensor(0.65482795, shape=(), dtype=float32)"
124,"tf.Tensor(0.6510892, shape=(), dtype=float32)"
125,"tf.Tensor(0.64731497, shape=(), dtype=float32)"
126,"tf.Tensor(0.6437756, shape=(), dtype=float32)"
127,"tf.Tensor(0.64011, shape=(), dtype=float32)"
128,"tf.Tensor(0.63744754, shape=(), dtype=float32)"
129,"tf.Tensor(0.6333029, shape=(), dtype=float32)"
130,"tf.Tensor(0.6287677, shape=(), dtype=float32)"
131,"tf.Tensor(0.62537104, shape=(), dtype=float32)"
132,"tf.Tensor(0.6210547, shape=(), dtype=float32)"
133,"tf.Tensor(0.6170622, shape=(), dtype=float32)"
134,"tf.Tensor(0.6106741, shape=(), dtype=float32)"
135,"tf.Tensor(0.6045625, shape=(), dtype=float32)"
136,"tf.Tensor(0.6003635, shape=(), dtype=float32)"
137,"tf.Tensor(0.59532285, shape=(), dtype=float32)"
138,"tf.Tensor(0.5903787, shape=(), dtype=float32)"
139,"tf.Tensor(0.5853055, shape=(), dtype=float32)"
140,"tf.Tensor(0.5775351, shape=(), dtype=float32)"
141,"tf.Tensor(0.57063335, shape=(), dtype=float32)"
142,"tf.Tensor(0.56346685, shape=(), dtype=float32)"
143,"tf.Tensor(0.55854416, shape=(), dtype=float32)"
144,"tf.Tensor(0.55245054, shape=(), dtype=float32)"
145,"tf.Tensor(0.54722494, shape=(), dtype=float32)"
146,"tf.Tensor(0.53974485, shape=(), dtype=float32)"
147,"tf.Tensor(0.5312878, shape=(), dtype=float32)"
148,"tf.Tensor(0.5228584, shape=(), dtype=float32)"
149,"tf.Tensor(0.5139465, shape=(), dtype=float32)"
150,"tf.Tensor(0.5050882, shape=(), dtype=float32)"
151,"tf.Tensor(0.4963795, shape=(), dtype=float32)"
152,"tf.Tensor(0.4864678, shape=(), dtype=float32)"
153,"tf.Tensor(0.47658932, shape=(), dtype=float32)"
154,"tf.Tensor(0.46593046, shape=(), dtype=float32)"
155,"tf.Tensor(0.45670226, shape=(), dtype=float32)"
156,"tf.Tensor(0.44485712, shape=(), dtype=float32)"
157,"tf.Tensor(0.43562323, shape=(), dtype=float32)"
158,"tf.Tensor(0.4235971, shape=(), dtype=float32)"
159,"tf.Tensor(0.41560686, shape=(), dtype=float32)"
160,"tf.Tensor(0.40194854, shape=(), dtype=float32)"
161,"tf.Tensor(0.39241862, shape=(), dtype=float32)"
162,"tf.Tensor(0.37880525, shape=(), dtype=float32)"
163,"tf.Tensor(0.36620986, shape=(), dtype=float32)"
164,"tf.Tensor(0.35255075, shape=(), dtype=float32)"
165,"tf.Tensor(0.33943143, shape=(), dtype=float32)"
166,"tf.Tensor(0.32512972, shape=(), dtype=float32)"
167,"tf.Tensor(0.31144565, shape=(), dtype=float32)"
168,"tf.Tensor(0.2976239, shape=(), dtype=float32)"
169,"tf.Tensor(0.2816088, shape=(), dtype=float32)"
170,"tf.Tensor(0.2672318, shape=(), dtype=float32)"
171,"tf.Tensor(0.24959527, shape=(), dtype=float32)"
172,"tf.Tensor(0.23277335, shape=(), dtype=float32)"
173,"tf.Tensor(0.21421364, shape=(), dtype=float32)"
174,"tf.Tensor(0.1991115, shape=(), dtype=float32)"
175,"tf.Tensor(0.18088007, shape=(), dtype=float32)"
176,"tf.Tensor(0.16127828, shape=(), dtype=float32)"
177,"tf.Tensor(0.14684156, shape=(), dtype=float32)"
178,"tf.Tensor(0.13092792, shape=(), dtype=float32)"
