,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
10,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.26369116, shape=(), dtype=float32)","tf.Tensor(0.16554913, shape=(), dtype=float32)","tf.Tensor(0.30385247, shape=(), dtype=float32)","tf.Tensor(0.23692404, shape=(), dtype=float32)","tf.Tensor(0.17643611, shape=(), dtype=float32)","tf.Tensor(0.13503109, shape=(), dtype=float32)","tf.Tensor(0.01459854, shape=(), dtype=float32)","tf.Tensor(0.35551345, shape=(), dtype=float32)","tf.Tensor(0.05891473, shape=(), dtype=float32)","tf.Tensor(0.1467626, shape=(), dtype=float32)","tf.Tensor(0.23882681, shape=(), dtype=float32)","tf.Tensor(0.13793588, shape=(), dtype=float32)","tf.Tensor(0.18216404, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
11,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.26952916, shape=(), dtype=float32)","tf.Tensor(0.16910204, shape=(), dtype=float32)","tf.Tensor(0.30495474, shape=(), dtype=float32)","tf.Tensor(0.247, shape=(), dtype=float32)","tf.Tensor(0.1827379, shape=(), dtype=float32)","tf.Tensor(0.14162806, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.36168295, shape=(), dtype=float32)","tf.Tensor(0.040268455, shape=(), dtype=float32)","tf.Tensor(0.14701216, shape=(), dtype=float32)","tf.Tensor(0.24851632, shape=(), dtype=float32)","tf.Tensor(0.14167595, shape=(), dtype=float32)","tf.Tensor(0.19014779, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
12,"tf.Tensor(0.7016213, shape=(), dtype=float32)","tf.Tensor(0.27582833, shape=(), dtype=float32)","tf.Tensor(0.1752381, shape=(), dtype=float32)","tf.Tensor(0.30660614, shape=(), dtype=float32)","tf.Tensor(0.25412014, shape=(), dtype=float32)","tf.Tensor(0.18915254, shape=(), dtype=float32)","tf.Tensor(0.14443626, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.3685553, shape=(), dtype=float32)","tf.Tensor(0.006329114, shape=(), dtype=float32)","tf.Tensor(0.15146199, shape=(), dtype=float32)","tf.Tensor(0.2606973, shape=(), dtype=float32)","tf.Tensor(0.14844316, shape=(), dtype=float32)","tf.Tensor(0.19738086, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
13,"tf.Tensor(0.70158374, shape=(), dtype=float32)","tf.Tensor(0.28064305, shape=(), dtype=float32)","tf.Tensor(0.17955112, shape=(), dtype=float32)","tf.Tensor(0.30959705, shape=(), dtype=float32)","tf.Tensor(0.2621779, shape=(), dtype=float32)","tf.Tensor(0.19581959, shape=(), dtype=float32)","tf.Tensor(0.14502253, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.375666, shape=(), dtype=float32)","tf.Tensor(0.0070422534, shape=(), dtype=float32)","tf.Tensor(0.14833924, shape=(), dtype=float32)","tf.Tensor(0.26627955, shape=(), dtype=float32)","tf.Tensor(0.15156507, shape=(), dtype=float32)","tf.Tensor(0.20352423, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
14,"tf.Tensor(0.701604, shape=(), dtype=float32)","tf.Tensor(0.2850446, shape=(), dtype=float32)","tf.Tensor(0.18664546, shape=(), dtype=float32)","tf.Tensor(0.31348166, shape=(), dtype=float32)","tf.Tensor(0.26740506, shape=(), dtype=float32)","tf.Tensor(0.19691578, shape=(), dtype=float32)","tf.Tensor(0.14603175, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.38173187, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15433855, shape=(), dtype=float32)","tf.Tensor(0.27364716, shape=(), dtype=float32)","tf.Tensor(0.16025566, shape=(), dtype=float32)","tf.Tensor(0.2085967, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
15,"tf.Tensor(0.7015867, shape=(), dtype=float32)","tf.Tensor(0.28904283, shape=(), dtype=float32)","tf.Tensor(0.19154058, shape=(), dtype=float32)","tf.Tensor(0.3164541, shape=(), dtype=float32)","tf.Tensor(0.27197, shape=(), dtype=float32)","tf.Tensor(0.19632949, shape=(), dtype=float32)","tf.Tensor(0.14221331, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.38731387, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15481833, shape=(), dtype=float32)","tf.Tensor(0.28224298, shape=(), dtype=float32)","tf.Tensor(0.1603928, shape=(), dtype=float32)","tf.Tensor(0.21155795, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
16,"tf.Tensor(0.70151156, shape=(), dtype=float32)","tf.Tensor(0.29496402, shape=(), dtype=float32)","tf.Tensor(0.19587438, shape=(), dtype=float32)","tf.Tensor(0.3206791, shape=(), dtype=float32)","tf.Tensor(0.2709338, shape=(), dtype=float32)","tf.Tensor(0.19717024, shape=(), dtype=float32)","tf.Tensor(0.13777778, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.39368713, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15821153, shape=(), dtype=float32)","tf.Tensor(0.28935754, shape=(), dtype=float32)","tf.Tensor(0.15982519, shape=(), dtype=float32)","tf.Tensor(0.2148522, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
17,"tf.Tensor(0.70145667, shape=(), dtype=float32)","tf.Tensor(0.29923534, shape=(), dtype=float32)","tf.Tensor(0.1964756, shape=(), dtype=float32)","tf.Tensor(0.32717606, shape=(), dtype=float32)","tf.Tensor(0.2761468, shape=(), dtype=float32)","tf.Tensor(0.20264317, shape=(), dtype=float32)","tf.Tensor(0.14399023, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40099892, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.1534795, shape=(), dtype=float32)","tf.Tensor(0.2972553, shape=(), dtype=float32)","tf.Tensor(0.1603256, shape=(), dtype=float32)","tf.Tensor(0.21353269, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
18,"tf.Tensor(0.7014597, shape=(), dtype=float32)","tf.Tensor(0.30602837, shape=(), dtype=float32)","tf.Tensor(0.19745365, shape=(), dtype=float32)","tf.Tensor(0.33252922, shape=(), dtype=float32)","tf.Tensor(0.2792598, shape=(), dtype=float32)","tf.Tensor(0.20700471, shape=(), dtype=float32)","tf.Tensor(0.14080656, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.40623853, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15608741, shape=(), dtype=float32)","tf.Tensor(0.30375612, shape=(), dtype=float32)","tf.Tensor(0.15766129, shape=(), dtype=float32)","tf.Tensor(0.2159206, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
19,"tf.Tensor(0.70154095, shape=(), dtype=float32)","tf.Tensor(0.30848995, shape=(), dtype=float32)","tf.Tensor(0.19818048, shape=(), dtype=float32)","tf.Tensor(0.33879238, shape=(), dtype=float32)","tf.Tensor(0.2807994, shape=(), dtype=float32)","tf.Tensor(0.20463538, shape=(), dtype=float32)","tf.Tensor(0.133538, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.41095632, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.15261959, shape=(), dtype=float32)","tf.Tensor(0.30961868, shape=(), dtype=float32)","tf.Tensor(0.14789377, shape=(), dtype=float32)","tf.Tensor(0.21905573, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
20,"tf.Tensor(0.7016426, shape=(), dtype=float32)","tf.Tensor(0.3117613, shape=(), dtype=float32)","tf.Tensor(0.19803064, shape=(), dtype=float32)","tf.Tensor(0.3430275, shape=(), dtype=float32)","tf.Tensor(0.28138298, shape=(), dtype=float32)","tf.Tensor(0.20765027, shape=(), dtype=float32)","tf.Tensor(0.13469736, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.41521886, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.14990391, shape=(), dtype=float32)","tf.Tensor(0.3128358, shape=(), dtype=float32)","tf.Tensor(0.14293167, shape=(), dtype=float32)","tf.Tensor(0.22023277, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
