epoch,auc_1,loss,val_auc_1,val_loss
0,0.5190280675888062,0.10633798688650131,0.6009142994880676,0.10137917846441269
1,0.5062936544418335,0.10312879085540771,0.4828992784023285,0.10247106105089188
2,0.5041598677635193,0.10287485271692276,0.5379698872566223,0.10213872790336609
3,0.5057547688484192,0.10250584036111832,0.5,0.10242724418640137
4,0.5099090933799744,0.10219559073448181,0.5590864419937134,0.10227568447589874
5,0.510582685470581,0.10221192240715027,0.4990912973880768,0.1024305447936058
6,0.5025529861450195,0.10231462866067886,0.502051055431366,0.10242320597171783
7,0.5195775032043457,0.10209699720144272,0.5825212001800537,0.1015811637043953
8,0.5423775315284729,0.10175404697656631,0.6069924235343933,0.10086900740861893
9,0.5981555581092834,0.10024137794971466,0.6515018343925476,0.09832663089036942
10,0.6308570504188538,0.09886971861124039,0.6742051839828491,0.09670867025852203
11,0.6476605534553528,0.09793228656053543,0.681235671043396,0.09636396169662476
12,0.6687401533126831,0.09662440419197083,0.6963849663734436,0.09490177035331726
13,0.6832155585289001,0.09560411423444748,0.6997392177581787,0.09523022174835205
14,0.6924324631690979,0.09483034908771515,0.7081867456436157,0.09419051557779312
15,0.6991807222366333,0.09427623450756073,0.7081827521324158,0.09424956142902374
16,0.7069169878959656,0.09367749094963074,0.7117087841033936,0.09369368106126785
17,0.7170193791389465,0.0927775576710701,0.7153216004371643,0.0937468409538269
18,0.7260106801986694,0.09186314046382904,0.7109366059303284,0.09448481351137161
19,0.7331273555755615,0.09128645062446594,0.7092086672782898,0.09449294209480286
20,0.7551878690719604,0.0889449268579483,0.7110722661018372,0.09516241401433945
21,0.7666031122207642,0.08760397881269455,0.7125515937805176,0.09452345222234726
22,0.7783529758453369,0.08615957200527191,0.7065699696540833,0.09511465579271317
23,0.7943195700645447,0.08402109146118164,0.7041283249855042,0.09606797993183136
24,0.8034572005271912,0.08262334018945694,0.7018563151359558,0.09695829451084137
25,0.8129991292953491,0.08128271251916885,0.7005100250244141,0.09686771780252457
26,0.82331383228302,0.07955710589885712,0.6974128484725952,0.09896064549684525
27,0.8278711438179016,0.0787157341837883,0.6925063133239746,0.09958761930465698
28,0.8318535685539246,0.0780879557132721,0.6872730851173401,0.10056085139513016
29,0.8389523029327393,0.07683970779180527,0.688161313533783,0.10113491863012314
30,0.8426535129547119,0.07612371444702148,0.6862696409225464,0.1019812524318695
31,0.8439434170722961,0.0758264809846878,0.6845209002494812,0.10237620770931244
32,0.8478312492370605,0.07514698058366776,0.6818290948867798,0.10349494963884354
33,0.8490615487098694,0.0748940259218216,0.6814515590667725,0.10352106392383575
34,0.8503870964050293,0.07455945760011673,0.6810204982757568,0.10387029498815536
35,0.8516726493835449,0.07434763014316559,0.6791043281555176,0.10420112311840057
36,0.8522315621376038,0.07411431521177292,0.6788557171821594,0.10426898300647736
